, ,assets_size,assets_stablecoins,assets_usdc,dt,stablecoins_ratio,usdc_ratio
68,1.0,5245063424.657736,373780644.4708749,254428818.18422502,2024-01-13T00:00:00Z,0.07126332213900079,0.048508244340406174
69,1.0,5241834632.965746,383077472.21790195,263725645.931252,2024-01-12T00:00:00Z,0.07308080071979739,0.0503117065679045
70,1.0,5290451545.312347,435966072.28657186,316634646.249922,2024-01-11T00:00:00Z,0.08240621212623402,0.059850211940884135
71,1.0,5301636599.667042,494778002.5539819,375569718.299871,2024-01-10T00:00:00Z,0.09332552189357064,0.0708403360432999
72,1.0,5291580010.148525,485948223.84857327,366855411.590768,2024-01-09T00:00:00Z,0.0918342390961851,0.06932814223486927
73,1.0,5294173146.644106,492730564.9505833,373637752.692778,2024-01-08T00:00:00Z,0.09307035325486428,0.07057528009442252
74,1.0,5269002744.2088585,467383754.11654663,348570592.51253504,2024-01-07T00:00:00Z,0.08870440514198752,0.06615494609404933
75,1.0,5259983904.239538,459175481.96526706,340647649.054414,2024-01-06T00:00:00Z,0.08729598613318425,0.0647621086406467
76,1.0,5260838744.306426,455107164.57099605,336579331.66014296,2024-01-05T00:00:00Z,0.08650848024253519,0.06397826430707612
77,1.0,5275033598.604748,405558303.85365915,287071953.679702,2024-01-04T00:00:00Z,0.07688260108161771,0.054420876817852466
78,1.0,5286001256.222005,419241979.14665246,300832356.843881,2024-01-03T00:00:00Z,0.07931174413800496,0.05691113986962822
79,1.0,5277724853.370268,422357659.6622137,303219303.176377,2024-01-02T00:00:00Z,0.0800264643187117,0.05745265461929986
80,1.0,5253790006.268638,431462723.61940956,312355866.28061706,2024-01-01T00:00:00Z,0.08212409005776847,0.05945343569269518
81,1.0,5220971376.058799,260424143.71091735,141553121.479145,2023-12-31T00:00:00Z,0.049880400590800796,0.027112410944876784
82,1.0,5247472868.698857,288938530.5381747,170260922.374911,2023-12-30T00:00:00Z,0.05506241533170971,0.032446270163780426
83,1.0,5258994145.883728,350837848.93098164,232350068.49332598,2023-12-29T00:00:00Z,0.0667119679540975,0.044181465513740664
84,1.0,5260651808.685244,371657046.328938,254054848.53173402,2023-12-28T00:00:00Z,0.07064847852415147,0.048293416437920095
85,1.0,5290836679.715718,449081846.3952322,331874092.582078,2023-12-27T00:00:00Z,0.08487917385863473,0.0627262024273843
86,1.0,5288069854.854292,447995848.1727945,330765017.63845,2023-12-26T00:00:00Z,0.08471821675380244,0.06254929051945438
87,1.0,5311919357.316225,477863704.0175162,360596319.76458496,2023-12-25T00:00:00Z,0.08996064734291266,0.06788437389734232
88,1.0,5325926997.197126,511495317.0408359,393860625.92898196,2023-12-24T00:00:00Z,0.09603873979309524,0.07395156301170835
89,1.0,5328846235.668995,523955421.68999696,406340730.578143,2023-12-23T00:00:00Z,0.09832436488462844,0.07625304101632238
90,1.0,5302564206.200067,509471267.0348016,391748438.564309,2023-12-22T00:00:00Z,0.09608016937147092,0.07387905611897239
91,1.0,5288520805.560964,506766783.6369825,387274448.28987104,2023-12-21T00:00:00Z,0.09582391792882977,0.07322925682407183
92,1.0,5288288790.456234,517033409.04659766,397433154.548693,2023-12-20T00:00:00Z,0.09776951099563379,0.07515345138978415
93,1.0,5289743375.628113,580866836.3837762,461263807.418415,2023-12-19T00:00:00Z,0.109810021987088,0.08719965689519746
94,1.0,5289847733.028441,507528180.2633883,387875151.29802704,2023-12-18T00:00:00Z,0.09594381650997505,0.07332444540439886
95,1.0,5280478604.639177,483185286.3600309,363214370.497273,2023-12-17T00:00:00Z,0.09150407047109844,0.06878436552667218
96,1.0,5278297555.522296,577970683.8880038,457999768.025246,2023-12-16T00:00:00Z,0.10949945087565506,0.08677035790566116
97,1.0,5244242968.417444,513922475.7317849,393951559.869027,2023-12-15T00:00:00Z,0.0979974571786233,0.07512076809589732
98,1.0,5263246956.231899,539671199.3265998,419700283.46384203,2023-12-14T00:00:00Z,0.10253579279376339,0.07974170449420007
99,1.0,5263347508.739618,417354153.08780783,297383237.22505,2023-12-13T00:00:00Z,0.07929443237308667,0.05650077953835553
100,1.0,5284142830.519373,316491634.91615283,190390866.183395,2023-12-12T00:00:00Z,0.05989460260010519,0.03603060558540611
101,1.0,5382335995.696985,338228384.71028876,163351144.245729,2023-12-11T00:00:00Z,0.06284044418272886,0.03034948847049372
102,1.0,5430507476.532344,487239587.27090806,260523347.735377,2023-12-10T00:00:00Z,0.08972266208572378,0.0479740335247148
103,1.0,5419181543.072061,488786260.5441691,261878422.567558,2023-12-09T00:00:00Z,0.09019558703823803,0.04832434944024825
104,1.0,5401278367.971731,483816582.15969765,256819287.914978,2023-12-08T00:00:00Z,0.08957445797065607,0.04754787115543868
105,1.0,5384733341.515211,487422832.2092336,260245277.19451302,2023-12-07T00:00:00Z,0.09051940018111976,0.048330207029580144
106,1.0,5372568628.641733,497483245.54522616,270223787.935941,2023-12-06T00:00:00Z,0.09259690846815623,0.050296944834794535
107,1.0,5355570222.21806,482348184.98807716,255088727.378792,2023-12-05T00:00:00Z,0.0900647671441246,0.047630544796244796
108,1.0,5356365609.838564,489811531.0202842,262552073.410999,2023-12-04T00:00:00Z,0.09144475315885815,0.04901683203415834
109,1.0,5341038388.008525,477766531.69840515,250357074.08912,2023-12-03T00:00:00Z,0.08945199359942188,0.04687423229370738
110,1.0,5323191889.89338,477531354.61389196,250141448.838049,2023-12-02T00:00:00Z,0.089707710052785,0.04699087577755142
111,1.0,5335922700.7197695,500653597.11806196,273263691.342219,2023-12-01T00:00:00Z,0.09382699585406816,0.0512120783356472
112,1.0,5343735910.862679,527408989.3945643,300044017.41348803,2023-11-30T00:00:00Z,0.09869667928807148,0.05614873609370597
113,1.0,5340849600.184566,534041825.67175424,306616978.47067803,2023-11-29T00:00:00Z,0.09999192369193455,0.057409775864140075
114,1.0,5342095224.092619,559381658.30736,331943729.644479,2023-11-28T00:00:00Z,0.10471203429406742,0.06213736665483369
115,1.0,5338860296.059291,564754833.3215182,337390771.259796,2023-11-27T00:00:00Z,0.10578190887264345,0.0631952799942771
116,1.0,5352206529.373583,581915825.176444,354332808.264722,2023-11-26T00:00:00Z,0.10872447129661697,0.06620312693841296
117,1.0,5347732881.7544,581054904.466102,353203283.41437995,2023-11-25T00:00:00Z,0.10865443680789805,0.06604729353993212
118,1.0,5330603681.814928,572731815.029903,344880193.978181,2023-11-24T00:00:00Z,0.10744220527662697,0.06469814950879231
119,1.0,5297577129.82169,555709237.9954071,328136432.22368497,2023-11-23T00:00:00Z,0.10489875359570491,0.06194085035147561
120,1.0,5298610635.09792,558469292.4889721,330862775.80725,2023-11-22T00:00:00Z,0.10539919442083166,0.06244330799013986
121,1.0,5300671296.3290415,562152236.8688822,334465782.29716,2023-11-21T00:00:00Z,0.10605302714359942,0.06309875930786218
122,1.0,5290228564.193257,743550688.7062311,515864234.134509,2023-11-20T00:00:00Z,0.14055171334919822,0.09751265524255787
123,1.0,5299101890.088445,748591253.3930371,520966653.151315,2023-11-19T00:00:00Z,0.1412675711696011,0.09831225440781623
124,1.0,5278396171.395258,628636403.0834332,401083097.29571104,2023-11-18T00:00:00Z,0.11909610091227074,0.07598578891619863
125,1.0,5264418450.898874,535538492.7362901,307786703.608568,2023-11-17T00:00:00Z,0.10172794919918447,0.05846547087380846
126,1.0,5275539499.181986,468207839.01298904,240642413.885267,2023-11-16T00:00:00Z,0.08875070295380943,0.045614749718503766
127,1.0,5269372521.345602,479855522.5155401,252404036.917818,2023-11-15T00:00:00Z,0.09106502160773458,0.04790020745266334
