day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,Step
2022-06-21 00:00:00+00:00,1711749472.1570141,270084178.9069523,1418614932.0725133,109684778.01339965,233743997.45382077,665687279.9299797,3358742304.102705,Before
2022-06-22 00:00:00+00:00,1648334214.5206447,249629586.87387362,1361854647.1973674,109208152.59283537,233743997.45382077,687301376.2774546,3355493225.524877,Before
2022-06-23 00:00:00+00:00,1711390137.2751555,261945378.76547962,1383082746.4079564,109208152.59283537,233743997.45382077,692410345.383838,3306409238.639173,Before
2022-06-24 00:00:00+00:00,1834969011.443634,287455909.050078,1400627076.9509735,109208152.59283537,233743997.45382077,702280384.5828702,3281913078.111337,Before
2022-06-17 00:00:00+00:00,1828492184.0853076,326072196.9993031,1162130076.813014,105117936.80163956,237250814.10517332,617855092.8211198,3370797208.1484375,After
2022-06-18 00:00:00+00:00,1500232085.4790149,256174274.78638005,1109535638.8292494,92619761.02627945,239332383.66440794,599696551.8375382,3448933610.026993,After
2022-06-19 00:00:00+00:00,1845497256.8218188,319983331.81597924,1202113833.5288343,107326286.90991592,238050182.57544157,576718603.0908341,3403773639.3554077,After
2022-06-20 00:00:00+00:00,1748974413.7693896,302146931.16826653,1247779070.2971144,108344521.8575325,236870875.94954893,635193266.0553727,3367629133.4669647,After
2022-06-21 00:00:00+00:00,1778682622.3370166,319962507.57575345,1328502618.3930311,111499614.10916519,236550547.05678007,644766870.2516618,3348342162.91304,After
2022-06-22 00:00:00+00:00,1672206159.2436023,278855008.6254008,1324624358.285884,109620116.79297256,233964156.91761228,678814670.2977433,3347480730.2776794,After
2022-06-23 00:00:00+00:00,1699838733.2652698,273423961.58566403,1381046699.0618849,112158653.65600967,233159174.00522825,692847421.719069,3305715353.2251434,After
2022-06-24 00:00:00+00:00,1838035449.3312793,293426262.2806332,1412090831.183467,114022470.9386177,232558821.40378782,688032465.6798234,3272031309.367813,After
2022-06-24 00:00:00+00:00,1838035449.3312793,293426262.2806332,1412090831.183467,114022470.9386177,232558821.40378782,688032465.6798234,3272031309.367813,Before
2022-06-25 00:00:00+00:00,1822528601.7990508,289232629.99265105,1407819183.3835623,109208152.59283537,233743997.45382077,709922097.6228435,3291952682.8467474,Before
2022-06-26 00:00:00+00:00,1833624442.8930953,321183673.143755,1424889370.1922126,109208152.59283537,233743997.45382077,709922097.6228435,3274105047.94502,Before
2022-06-27 00:00:00+00:00,1800714480.5521433,310731600.93737745,1382529579.7907062,109208152.59283537,233743997.45382077,710606118.3747959,3306970942.693201,Before
2022-06-28 00:00:00+00:00,1758510425.9982026,309030872.6737762,1342063737.3693879,133438431.51392002,233743997.45382077,710606118.3747959,3236933835.070785,Before
2022-06-29 00:00:00+00:00,1689810873.4948406,282629563.78562474,1284948326.6646113,131910945.34577225,233743997.45382077,705466717.6813599,3313992929.353012,Before
2022-06-30 00:00:00+00:00,1566357095.2439363,229308313.52320117,1198157016.04469,127858692.62744845,233743997.45382077,712088826.3625755,3295709364.229627,Before
2022-07-01 00:00:00+00:00,1648925245.4102821,231264758.0857212,1239693439.0373716,130883461.30873865,233743997.45382077,763382453.542478,3367970253.4003763,Before
2022-06-24 00:00:00+00:00,1863355042.2484546,329644283.2964413,1357551284.459468,109029356.13432693,234563082.39866087,674526283.0595841,3281528278.588516,After
2022-06-25 00:00:00+00:00,1830594346.285686,329034003.40045094,1341620636.1484327,112493005.62395096,237377794.8353903,691592690.2323747,3321694869.1653137,After
2022-06-26 00:00:00+00:00,1841321634.1752734,336454113.7890675,1405568226.78683,115933619.02995682,235189290.85309812,705769831.6545548,3266440065.554886,After
2022-06-27 00:00:00+00:00,1783493842.1948047,322321728.2936003,1382319815.0400038,111797008.68442154,232984879.38062498,724815389.4853044,3296772209.3161926,After
2022-06-28 00:00:00+00:00,1704157712.7501025,311437792.38677144,1360948864.0682936,119738631.4333992,233093916.33657286,731633895.0424333,3263316606.437271,After
2022-06-29 00:00:00+00:00,1624603180.675243,265753000.78794885,1330926759.8682203,121760315.25204849,231919413.2774298,732173109.7994523,3335367574.118698,After
2022-06-30 00:00:00+00:00,1478368934.4232593,196668683.74048066,1244326795.9832716,123258566.37048721,232800187.6359503,736376191.1574845,3351423946.174469,After
2022-07-01 00:00:00+00:00,1602569973.6038318,230059466.31271863,1297668761.2128248,123164156.82555008,231465703.48910734,743495227.8997331,3387440318.895096,After
2022-07-01 00:00:00+00:00,1602569973.6038318,230059466.31271863,1297668761.2128248,123164156.82555008,231465703.48910734,743495227.8997331,3387440318.895096,Before
2022-07-02 00:00:00+00:00,1635105164.115792,244763146.9252445,1233000918.2364619,130895755.70598865,233743997.45382077,713776803.4404888,3432619816.6680675,Before
2022-07-03 00:00:00+00:00,1640668087.3074389,245829804.3434848,1218297099.8552923,130895755.70598865,233743997.45382077,758514033.2021726,3419633232.9302173,Before
2022-07-04 00:00:00+00:00,1722064757.2615051,257824539.06416538,1269455368.4807308,131038128.02892375,233743997.45382077,761072338.4882779,3483659093.256469,Before
2022-07-05 00:00:00+00:00,1770218217.3075612,254964447.24399725,1258923467.9324305,131028416.45884812,233743997.45382077,764810645.0339506,3499205898.0296783,Before
