,delta_30d,delta_90d,period,surplus_buffer
713,21330963.28184686,5005705.4590927195,2022-04-14 00:00:00+00:00,67723661.82761167
714,16787271.636152696,4874236.667276805,2022-04-13 00:00:00+00:00,67400203.83152254
715,16423020.442365147,4895635.6947065545,2022-04-12 00:00:00+00:00,67206447.25625618
716,18151581.07467808,4173172.072441168,2022-04-11 00:00:00+00:00,67031714.600564614
717,11125110.205883518,1364865.397432376,2022-04-10 00:00:00+00:00,66335717.34822624
718,8267591.246075949,582811.8057022397,2022-04-09 00:00:00+00:00,65976819.26523335
719,9105147.473033246,1017894.6255807724,2022-04-08 00:00:00+00:00,65885988.24539486
720,20660945.623902682,4994486.733836734,2022-04-07 00:00:00+00:00,66631211.17203899
721,20592433.204967227,4697828.4263988,2022-04-06 00:00:00+00:00,66440877.57506964
722,22262534.593448296,4059444.9292346747,2022-04-05 00:00:00+00:00,66283582.43832294
723,17586055.600978043,4026288.7183785187,2022-04-04 00:00:00+00:00,66083215.2076282
724,44491460.07868715,13463064.68709343,2022-04-03 00:00:00+00:00,68154783.0231637
725,43126585.02203473,14212910.45741872,2022-04-02 00:00:00+00:00,67965800.0263229
726,40708960.295017295,12727086.87736717,2022-04-01 00:00:00+00:00,67780721.7917478
727,43902547.803180344,13588718.44178877,2022-03-31 00:00:00+00:00,67813828.84816736
728,34936828.291515425,13062281.359339474,2022-03-30 00:00:00+00:00,67615511.26418743
729,42587438.596430905,16099313.136700924,2022-03-29 00:00:00+00:00,67970821.36825113
730,42793251.22906467,17020203.35763697,2022-03-28 00:00:00+00:00,67813955.83205801
731,48219545.59332955,17264426.1195332,2022-03-27 00:00:00+00:00,68097730.68949567
732,43460291.77659685,16861897.458313394,2022-03-26 00:00:00+00:00,67897552.1122125
733,45771206.6857,16691782.754845822,2022-03-25 00:00:00+00:00,67704630.06504695
734,46895562.856029525,16086032.31571639,2022-03-24 00:00:00+00:00,67549594.70282981
735,47301560.96653942,15804121.685829818,2022-03-23 00:00:00+00:00,67317191.29266116
736,50150878.58455396,16456049.301401714,2022-03-22 00:00:00+00:00,67140758.89952458
737,51696921.13231787,16630011.460161492,2022-03-21 00:00:00+00:00,67082584.23171898
738,51054414.61317655,16928302.613312814,2022-03-20 00:00:00+00:00,66896800.538126
739,51145354.89267727,17103276.332543053,2022-03-19 00:00:00+00:00,66722980.748408906
740,51782566.37594908,16321444.761465121,2022-03-18 00:00:00+00:00,66530022.25177328
741,52916360.30640505,16269605.643860579,2022-03-17 00:00:00+00:00,66319705.485781394
742,53442799.941600285,16780550.54754647,2022-03-16 00:00:00+00:00,66150288.10128152
743,45500965.08458194,16067795.811662536,2022-03-15 00:00:00+00:00,65970431.968829736
744,48147058.74171842,16212275.047974896,2022-03-14 00:00:00+00:00,66020428.08060588
745,49590880.8427222,15547524.552563569,2022-03-13 00:00:00+00:00,65856609.959623426
746,47995185.07178739,15893418.947672138,2022-03-12 00:00:00+00:00,65539803.8273034
747,49781296.16283908,15863079.038168551,2022-03-11 00:00:00+00:00,65421324.72856458
748,51694575.85799565,17020407.553801358,2022-03-10 00:00:00+00:00,65297291.21761067
749,52481252.3157933,16483189.414885854,2022-03-09 00:00:00+00:00,65137619.959940076
750,50753944.76339919,15597429.562241217,2022-03-08 00:00:00+00:00,64933051.257745616
751,51700435.503782965,14906597.56975307,2022-03-07 00:00:00+00:00,64748348.818496995
752,50998798.55113956,13941621.752592321,2022-03-06 00:00:00+00:00,64453785.074477874
753,56862875.106474735,15638014.045367677,2022-03-05 00:00:00+00:00,64637785.98015055
754,59061550.09483081,15589896.359635003,2022-03-04 00:00:00+00:00,64497950.687929146
755,60880260.41964271,16023950.086844567,2022-03-03 00:00:00+00:00,64421149.20259402
756,63645059.611955106,17631630.627097428,2022-03-02 00:00:00+00:00,64434779.84969158
757,-59091758.502589665,18188127.50456798,2022-03-01 00:00:00+00:00,64205400.26160459
758,-50574228.87380972,20990911.87968057,2022-02-28 00:00:00+00:00,64743991.13063821
