,balance,inflow,interest,outflow,period
116,1596930711.2285788,,214806.1708021234,6683999.351971752,2023-12-02 00:00:00.000
117,1603399904.4097483,,214910.86692524832,16090260.241330704,2023-12-01 00:00:00.000
118,1619275253.7841537,4240823.370032236,214973.709205782,,2023-11-30 00:00:00.000
119,1614819456.7049158,,220932.44943898582,6914111.97548667,2023-11-29 00:00:00.000
120,1621512636.2309635,6948020.712180993,212366.34147026233,,2023-11-28 00:00:00.000
121,1614352249.1773121,,215959.5905027082,7794732.470246837,2023-11-27 00:00:00.000
122,1621931022.0570562,2683288.997163548,217239.32856349854,,2023-11-26 00:00:00.000
123,1619030493.7313292,14444930.008458557,214420.3205612726,,2023-11-25 00:00:00.000
124,1604371143.4023094,6931595.127471304,214565.2600264124,,2023-11-24 00:00:00.000
125,1597224983.0148118,1627000.5603132285,214055.8277015334,,2023-11-23 00:00:00.000
126,1595383926.626797,7229038.409172602,212936.3442770272,,2023-11-22 00:00:00.000
127,1587941951.8733473,5313378.437346213,210157.19161441838,,2023-11-21 00:00:00.000
128,1582418416.2443867,,214496.22770124537,10001321.435213193,2023-11-20 00:00:00.000
129,1592205241.4518986,23894282.83506348,211733.1872802798,,2023-11-19 00:00:00.000
130,1568099225.4295547,23498014.238856748,204844.08656592743,,2023-11-18 00:00:00.000
131,1544396367.104132,2014349.6063920967,208874.92200343125,,2023-11-17 00:00:00.000
132,1542173142.5757365,352309.57392508164,207710.52643538755,,2023-11-16 00:00:00.000
133,1541613122.4753761,,202093.4539424282,11215077.23383659,2023-11-15 00:00:00.000
134,1552626106.2552702,276674.4404041171,207773.9274988882,,2023-11-14 00:00:00.000
135,1552141657.8873672,,215923.71950835775,9831562.39799414,2023-11-13 00:00:00.000
136,1561757296.565853,10572050.578237396,201339.6847305618,,2023-11-12 00:00:00.000
137,1550983906.302885,8263992.984778178,207945.9596749196,,2023-11-11 00:00:00.000
138,1542511967.358432,,207580.13133801124,22270595.580372065,2023-11-10 00:00:00.000
139,1564574982.807466,,210703.35462988648,33541507.700227015,2023-11-09 00:00:00.000
140,1597905787.153063,,215103.58965968044,27260980.246875565,2023-11-08 00:00:00.000
141,1624951663.810279,8924304.90753186,219046.09281472384,,2023-11-07 00:00:00.000
142,1615808312.8099322,,213157.90731988478,5732127.000140693,2023-11-06 00:00:00.000
143,1621327281.902753,,222946.43418443427,7108843.209651053,2023-11-05 00:00:00.000
144,1628213178.6782198,9072416.618231783,214093.6452711709,,2023-11-04 00:00:00.000
145,1618926668.414717,,212858.76323275617,1441408.5816427283,2023-11-03 00:00:00.000
146,1620155218.2331269,12541414.44142583,215918.63617264666,,2023-11-02 00:00:00.000
147,1607397885.1555283,60083625.69958842,215038.9907672606,,2023-11-01 00:00:00.000
148,1547099220.4651725,,216439.58675694128,48207651.7157762,2023-10-31 00:00:00.000
149,1595090432.5941918,,217093.9508195864,90312888.38627209,2023-10-30 00:00:00.000
150,1685186227.0296443,,218162.08843110056,7526935.340874588,2023-10-29 00:00:00.000
151,1692495000.2820878,,227975.51351782997,19223272.16230847,2023-10-28 00:00:00.000
152,1711490296.9308784,,230374.12160499924,15208308.163355336,2023-10-27 00:00:00.000
153,1726468230.9726288,5526779.717258703,232208.8084345532,,2023-10-26 00:00:00.000
154,1720709242.4469357,,228860.41971693488,6123468.646254726,2023-10-25 00:00:00.000
155,1726603850.6734734,,229154.33100033138,11553715.722970784,2023-10-24 00:00:00.000
156,1737928412.0654438,,232766.26206104807,13061240.71502525,2023-10-23 00:00:00.000
157,1750756886.518408,7175573.002371833,235210.8384474954,,2023-10-22 00:00:00.000
158,1743346102.6775887,9433766.460942592,231073.4762325611,,2023-10-21 00:00:00.000
159,1733681262.7404137,4341801.89930097,233006.80904419054,,2023-10-20 00:00:00.000
160,1729106454.0320685,40417990.597189784,233962.57114401282,,2023-10-19 00:00:00.000
161,1688454500.8637347,9192636.41549981,220620.62688730107,,2023-10-18 00:00:00.000
162,1679041243.8213477,1202879.724439785,222833.73043425716,,2023-10-17 00:00:00.000
163,1677615530.3664737,,224989.09513921282,14830776.330253027,2023-10-16 00:00:00.000
164,1692221317.6015875,1461546.0149418795,240381.22276029867,,2023-10-15 00:00:00.000
165,1690519390.3638854,10636064.057944415,213704.34906190346,,2023-10-14 00:00:00.000
166,1679669621.9568791,16374661.509462867,225310.90153108945,,2023-10-13 00:00:00.000
167,1663069649.545885,,220240.9035547473,26715153.97863347,2023-10-12 00:00:00.000
168,1689564562.6209638,11043148.029226936,225976.87187886363,,2023-10-11 00:00:00.000
169,1678295437.719858,,227754.44546798087,4215763.315880366,2023-10-10 00:00:00.000
170,1682283446.5902703,11598477.392542705,227804.04846967966,,2023-10-09 00:00:00.000
171,1670457165.149258,11758221.0970971,212925.75621479223,,2023-10-08 00:00:00.000
172,1658486018.2959461,5631208.284790198,235746.672417131,,2023-10-07 00:00:00.000
173,1652619063.3387387,13583640.466453943,221437.47974666263,,2023-10-06 00:00:00.000
174,1638813985.392538,,206336.0443496162,8495525.735755667,2023-10-05 00:00:00.000
175,1647103175.083944,,222418.85604768863,3381533.8179467544,2023-10-04 00:00:00.000
176,1650262290.0458431,,217345.01270871196,5283290.346689217,2023-10-03 00:00:00.000
177,1655328235.3798237,,221884.3934513474,19672638.37739971,2023-10-02 00:00:00.000
178,1674778989.3637722,17987754.02998939,232129.0238288739,,2023-10-01 00:00:00.000
179,1656559106.309954,,212527.96878620927,2020396.2290088683,2023-09-30 00:00:00.000
180,1658366974.5701766,9604540.05249915,220105.37297774263,,2023-09-29 00:00:00.000
181,1648542329.1446998,,222236.39744256597,8487505.770420361,2023-09-28 00:00:00.000
182,1656807598.5176775,13129933.138606634,226921.7788122671,,2023-09-27 00:00:00.000
183,1643450743.6002586,7593654.923922578,218812.46624432245,,2023-09-26 00:00:00.000
184,1635638276.2100916,11677523.496890474,229213.81143495874,,2023-09-25 00:00:00.000
185,1623731538.901766,13616577.24458491,202330.0978745946,,2023-09-24 00:00:00.000
186,1609912631.5593066,9860980.348969452,212883.99997355312,,2023-09-23 00:00:00.000
187,1599838767.2103636,3148912.963248741,212112.88132020365,,2023-09-22 00:00:00.000
188,1596477741.3657947,5951147.751693673,222253.5417140026,,2023-09-21 00:00:00.000
189,1590304340.072387,40017588.53893319,207556.61928910323,,2023-09-20 00:00:00.000
190,1550079194.9141648,9744531.311234232,206877.49491581687,,2023-09-19 00:00:00.000
191,1540127786.1080148,,201973.0917941132,25676025.923685513,2023-09-18 00:00:00.000
192,1565601838.9399061,16254454.449807461,210675.45888201558,,2023-09-17 00:00:00.000
193,1549136709.0312166,11052312.13206333,206166.14056432925,,2023-09-16 00:00:00.000
194,1537878230.758589,22805197.509166986,209750.7645310655,,2023-09-15 00:00:00.000
195,1514863282.484891,23947273.62379124,194231.90873239978,,2023-09-14 00:00:00.000
