period,balance,item,normalized
2020-07-24 00:00:00+00:00,-283935.42319581617,Equity,-0.001028962679402589
2020-07-24 00:00:00+00:00,-227951020.53872958,DAI,-0.8260790084804817
2020-07-24 00:00:00+00:00,275943364.0107023,Crypto-Loans,1.0
2020-07-24 00:00:00+00:00,,Others assets,
2020-07-24 00:00:00+00:00,,Stablecoins,
2020-07-24 00:00:00+00:00,,Real-World Assets,
2020-07-24 00:00:00+00:00,-47708408.048776716,DSR,-0.17289202884011506
2020-07-25 00:00:00+00:00,-89496673.70238271,DSR,-0.3576301196791518
2020-07-25 00:00:00+00:00,,Others assets,
2020-07-25 00:00:00+00:00,,Real-World Assets,
2020-07-25 00:00:00+00:00,-160463738.40256715,DAI,-0.6412156295317863
2020-07-25 00:00:00+00:00,-288850.40871841036,Equity,-0.0011542507890613008
2020-07-25 00:00:00+00:00,,Stablecoins,
2020-07-25 00:00:00+00:00,250249262.51366842,Crypto-Loans,1.0
2020-07-26 00:00:00+00:00,273827280.4227887,Crypto-Loans,1.0
2020-07-26 00:00:00+00:00,-293984.0520347241,Equity,-0.0010736112617443134
2020-07-26 00:00:00+00:00,-132063988.8677935,DAI,-0.48228937841360076
2020-07-26 00:00:00+00:00,,Others assets,
2020-07-26 00:00:00+00:00,-141469307.50296026,DSR,-0.5166370103246543
2020-07-26 00:00:00+00:00,,Stablecoins,
2020-07-26 00:00:00+00:00,,Real-World Assets,
2020-07-27 00:00:00+00:00,,Others assets,
2020-07-27 00:00:00+00:00,-300038.86499338713,Equity,-0.0010613140123746643
2020-07-27 00:00:00+00:00,,Stablecoins,
2020-07-27 00:00:00+00:00,282705082.0916399,Crypto-Loans,1.0
2020-07-27 00:00:00+00:00,,Real-World Assets,
2020-07-27 00:00:00+00:00,-151745462.04668373,DSR,-0.5367624130559312
2020-07-27 00:00:00+00:00,-130659581.17996252,DAI,-0.46217627293169333
2020-07-28 00:00:00+00:00,294890265.95533437,Crypto-Loans,1.0
2020-07-28 00:00:00+00:00,,Real-World Assets,
2020-07-28 00:00:00+00:00,-164712018.65142575,DSR,-0.5585535965991292
2020-07-28 00:00:00+00:00,-305815.68548501015,Equity,-0.0010370491019575756
2020-07-28 00:00:00+00:00,,Stablecoins,
2020-07-28 00:00:00+00:00,,Others assets,
2020-07-28 00:00:00+00:00,-129872431.61842337,DAI,-0.4404093542989124
2020-07-29 00:00:00+00:00,,Real-World Assets,
2020-07-29 00:00:00+00:00,-163667820.38574454,DAI,-0.5115619466677741
2020-07-29 00:00:00+00:00,,Stablecoins,
2020-07-29 00:00:00+00:00,-313044.47175927984,Equity,-0.0009784552576635312
2020-07-29 00:00:00+00:00,319937441.5001905,Crypto-Loans,1.0
2020-07-29 00:00:00+00:00,,Others assets,
2020-07-29 00:00:00+00:00,-155956576.6426863,DSR,-0.48745959807456124
2020-07-30 00:00:00+00:00,-145991410.3142975,DSR,-0.434185057436963
2020-07-30 00:00:00+00:00,-320511.0469363422,Equity,-0.0009532143502391271
2020-07-30 00:00:00+00:00,336242364.4334955,Crypto-Loans,1.0
2020-07-30 00:00:00+00:00,,Stablecoins,
2020-07-30 00:00:00+00:00,,Real-World Assets,
2020-07-30 00:00:00+00:00,-189930443.0722613,DAI,-0.5648617282127968
2020-07-30 00:00:00+00:00,,Others assets,
2020-07-31 00:00:00+00:00,-327405.54102047835,Equity,-0.0009019452828538047
2020-07-31 00:00:00+00:00,-188819978.3938447,DAI,-0.5201661776708703
2020-07-31 00:00:00+00:00,,Stablecoins,
2020-07-31 00:00:00+00:00,,Real-World Assets,
2020-07-31 00:00:00+00:00,-173851954.54445893,DSR,-0.47893187704627477
2020-07-31 00:00:00+00:00,362999338.4793245,Crypto-Loans,1.0
2020-07-31 00:00:00+00:00,,Others assets,
2020-08-01 00:00:00+00:00,,Stablecoins,
2020-08-01 00:00:00+00:00,,Others assets,
2020-08-01 00:00:00+00:00,361823298.87920797,Crypto-Loans,1.0
2020-08-01 00:00:00+00:00,-335407.12939414434,Equity,-0.0009269915188798208
2020-08-01 00:00:00+00:00,-154137573.2128794,DSR,-0.4260023433823621
2020-08-01 00:00:00+00:00,-207350318.53693405,DAI,-0.573070665098757
2020-08-01 00:00:00+00:00,,Real-World Assets,
2020-08-02 00:00:00+00:00,362294694.86083,Crypto-Loans,1.0
2020-08-02 00:00:00+00:00,-185672462.98580903,DAI,-0.5124901513038502
2020-08-02 00:00:00+00:00,,Stablecoins,
2020-08-02 00:00:00+00:00,-176277119.2181227,DSR,-0.48655727428147094
2020-08-02 00:00:00+00:00,,Others assets,
2020-08-02 00:00:00+00:00,,Real-World Assets,
2020-08-02 00:00:00+00:00,-345112.65689787443,Equity,-0.0009525744146776541
2020-08-03 00:00:00+00:00,,Real-World Assets,
2020-08-03 00:00:00+00:00,380150861.1762726,Crypto-Loans,1.0
2020-08-03 00:00:00+00:00,-348706.06470086914,Equity,-0.0009172833743474732
2020-08-03 00:00:00+00:00,-221269578.5600918,DSR,-0.5820572860875122
2020-08-03 00:00:00+00:00,,Others assets,
2020-08-03 00:00:00+00:00,,Stablecoins,
2020-08-03 00:00:00+00:00,-158532576.55147952,DAI,-0.41702543053813934
2020-08-04 00:00:00+00:00,,Stablecoins,
2020-08-04 00:00:00+00:00,,Others assets,
2020-08-04 00:00:00+00:00,-157885289.07550693,DAI,-0.415540963292001
2020-08-04 00:00:00+00:00,,Real-World Assets,
2020-08-04 00:00:00+00:00,379951203.42578787,Crypto-Loans,1.0
2020-08-04 00:00:00+00:00,-221717208.2855797,DSR,-0.5835412713171878
2020-08-04 00:00:00+00:00,-348706.06470086914,Equity,-0.0009177653908101872
2020-08-05 00:00:00+00:00,,Others assets,
