,dt,maturity,outflow,outflow_dai_only,outflow_surplus_buffer,total_period
4374,2022-03-22 00:00:00+00:00,3-months,400352870.45647186,400352870.45647186,0.0,9670684365.953756
4375,2022-03-22 00:00:00+00:00,1-year,5939574838.251592,5872436913.592818,67137924.65877332,9670684365.953756
4376,2022-03-22 00:00:00+00:00,1-day,934494329.9939487,934494329.9939487,0.0,9670684365.953756
4377,2022-03-22 00:00:00+00:00,1-block,934494329.9939487,934494329.9939487,0.0,9670684365.953756
4378,2022-03-22 00:00:00+00:00,1-week,1190417718.3928516,1190417718.3928516,0.0,9670684365.953756
4379,2022-03-22 00:00:00+00:00,1-month,271350278.8649421,271350278.8649421,0.0,9670684365.953756
4380,2022-03-21 00:00:00+00:00,1-year,5978258873.180128,5911179123.189168,67079749.99096041,9719207616.079704
4381,2022-03-21 00:00:00+00:00,1-month,271492699.8825633,271492699.8825633,0.0,9719207616.079704
4382,2022-03-21 00:00:00+00:00,1-block,938293917.7341858,938293917.7341858,0.0,9719207616.079704
4383,2022-03-21 00:00:00+00:00,1-week,1192305207.7219093,1192305207.7219093,0.0,9719207616.079704
4384,2022-03-21 00:00:00+00:00,3-months,400562999.8267327,400562999.8267327,0.0,9719207616.079704
4385,2022-03-21 00:00:00+00:00,1-day,938293917.7341858,938293917.7341858,0.0,9719207616.079704
4386,2022-03-20 00:00:00+00:00,1-block,936227478.5566835,936227478.5566835,0.0,9710355315.258636
4387,2022-03-20 00:00:00+00:00,1-week,1185780059.2786496,1185780059.2786496,0.0,9710355315.258636
4388,2022-03-20 00:00:00+00:00,1-month,269625856.04724455,269625856.04724455,0.0,9710355315.258636
4389,2022-03-20 00:00:00+00:00,1-day,936227478.5566835,936227478.5566835,0.0,9710355315.258636
4390,2022-03-20 00:00:00+00:00,3-months,397808640.06970507,397808640.06970507,0.0,9710355315.258636
4391,2022-03-20 00:00:00+00:00,1-year,5984685802.749671,5917791836.452303,66893966.29736743,9710355315.258636
4392,2022-03-19 00:00:00+00:00,3-months,393634851.6406357,393634851.6406357,0.0,9649351796.966951
4393,2022-03-19 00:00:00+00:00,1-week,1174509035.489173,1174509035.489173,0.0,9649351796.966951
4394,2022-03-19 00:00:00+00:00,1-year,5955468651.178455,5888748504.669444,66720146.50901128,9649351796.966951
4395,2022-03-19 00:00:00+00:00,1-block,929471151.8289062,929471151.8289062,0.0,9649351796.966951
4396,2022-03-19 00:00:00+00:00,1-day,929471151.8289062,929471151.8289062,0.0,9649351796.966951
4397,2022-03-19 00:00:00+00:00,1-month,266796955.00087532,266796955.00087532,0.0,9649351796.966951
4398,2022-03-18 00:00:00+00:00,1-week,1168175531.5131335,1168175531.5131335,0.0,9628977564.223637
4399,2022-03-18 00:00:00+00:00,1-year,5951309251.835999,5884782063.823623,66527188.01237567,9628977564.223637
4400,2022-03-18 00:00:00+00:00,1-block,926647524.4346818,926647524.4346818,0.0,9628977564.223637
4401,2022-03-18 00:00:00+00:00,3-months,391111230.99644196,391111230.99644196,0.0,9628977564.223637
4402,2022-03-18 00:00:00+00:00,1-day,926647524.4346818,926647524.4346818,0.0,9628977564.223637
4403,2022-03-18 00:00:00+00:00,1-month,265086501.00869957,265086501.00869957,0.0,9628977564.223637
4404,2022-03-17 00:00:00+00:00,1-month,261237930.5396506,261237930.5396506,0.0,9580620376.952599
4405,2022-03-17 00:00:00+00:00,1-day,920086161.5940733,920086161.5940733,0.0,9580620376.952599
4406,2022-03-17 00:00:00+00:00,3-months,385433012.2716156,385433012.2716156,0.0,9580620376.952599
4407,2022-03-17 00:00:00+00:00,1-block,920086161.5940733,920086161.5940733,0.0,9580620376.952599
