period,collateral,daily_revenues
2024-03-07,WSTETH-B,5830.639156516784
2024-03-06,ETH-A,37365.559305652576
2024-03-06,ETH-B,28327.835883701435
2024-03-06,ETH-C,56351.02473538575
2024-03-06,RWA007-A,0.0
2024-03-06,RWA015-A,0.0
2024-03-06,WBTC-A,22673.50643018452
2024-03-06,WBTC-B,6779.0378100119015
2024-03-06,WBTC-C,16886.321043823304
2024-03-06,WSTETH-A,85538.3978409327
2024-03-06,WSTETH-B,16121.390864450132
2024-03-05,DIRECT-SPARK-DAI,0.0
2024-03-05,ETH-A,52299.563900861656
2024-03-05,ETH-B,30981.804879427236
2024-03-05,ETH-C,47992.60308813266
2024-03-05,RWA014-A,0.0
2024-03-05,WBTC-A,34459.795720407856
2024-03-05,WBTC-B,9200.573306783543
2024-03-05,WBTC-C,10713.743981049416
2024-03-05,WSTETH-A,84742.34280006136
2024-03-05,WSTETH-B,28564.39854159487
2024-03-04,DIRECT-SPARK-DAI,0.0
2024-03-04,ETH-A,58448.6483490509
2024-03-04,ETH-B,31622.00727804396
2024-03-04,ETH-C,50043.07632058905
2024-03-04,RWA002-A,12123.852122215607
2024-03-04,RWA014-A,0.0
2024-03-04,WBTC-A,24562.344837051005
2024-03-04,WBTC-B,9373.197111671261
2024-03-04,WBTC-C,8784.48578239954
2024-03-04,WSTETH-A,89555.80636875608
2024-03-04,WSTETH-B,5504.970556072899
2024-03-03,DIRECT-SPARK-DAI,0.0
2024-03-03,ETH-A,47016.3269402003
2024-03-03,ETH-B,34310.759871537506
2024-03-03,ETH-C,51897.10006683029
2024-03-03,WBTC-A,21522.969326965962
2024-03-03,WBTC-B,12234.329998386696
2024-03-03,WBTC-C,11195.491933928604
2024-03-03,WSTETH-A,106120.01057134816
2024-03-03,WSTETH-B,15668.97665693162
2024-03-02,DIRECT-SPARK-DAI,0.0
2024-03-02,ETH-A,53714.84173832205
2024-03-02,ETH-B,23901.51999379898
2024-03-02,ETH-C,56950.66857394018
2024-03-02,WBTC-A,38924.25754531803
2024-03-02,WBTC-B,6503.930518466914
2024-03-02,WBTC-C,13021.557614403759
2024-03-02,WSTETH-A,75760.65770454232
2024-03-02,WSTETH-B,15283.908870485857
2024-03-01,DIRECT-SPARK-DAI,0.0
2024-03-01,ETH-A,52323.1507979665
2024-03-01,ETH-B,30990.378343832992
2024-03-01,ETH-C,45828.35201113252
2024-03-01,WBTC-A,25953.608789209968
2024-03-01,WBTC-B,10065.347604628932
2024-03-01,WBTC-C,13823.994390186765
2024-03-01,WSTETH-A,88683.3845360334
2024-03-01,WSTETH-B,18534.305490193932
2024-02-29,DIRECT-SPARK-DAI,0.0
2024-02-29,ETH-A,44148.119394709065
2024-02-29,ETH-B,26746.038711031604
2024-02-29,ETH-C,55905.55824414686
2024-02-29,RWA002-A,942.0104949596622
2024-02-29,WBTC-A,27338.89549135662
2024-02-29,WBTC-B,8782.67681095939
2024-02-29,WBTC-C,10200.122567007807
2024-02-29,WSTETH-A,58240.09093427255
2024-02-29,WSTETH-B,13283.313442054654
2024-02-28,DIRECT-SPARK-DAI,0.0
2024-02-28,ETH-A,56652.37795368231
2024-02-28,ETH-B,38969.55353195925
2024-02-28,ETH-C,61556.50239200492
2024-02-28,RWA002-A,5241.620731726945
2024-02-28,RWA012-A,69863.71909792148
2024-02-28,RWA013-A,98551.44804828719
2024-02-28,WBTC-A,28179.900105231296
