dt,annual_revenues,asset,blended_rate,collateral,revenues,total_annual_revenues,total_asset,total_blended_rate
2021-12-04 00:00:00+00:00,1891274.009579922,234967180.58876783,0.008049098622373014,Liquidity Pools,18758.0740426707,145102019.7506496,9048023585.148762,0.016036874615227247
2021-12-04 00:00:00+00:00,2270022.5470742853,135910331.87457547,0.016702354528640034,Others,11687.400610087745,145102019.7506496,9048023585.148762,0.016036874615227247
2021-12-04 00:00:00+00:00,546803.8522559218,13812270.05199469,0.03958826827143851,RWA,3285.9838121875973,145102019.7506496,9048023585.148762,0.016036874615227247
2021-12-04 00:00:00+00:00,3304175.2468035347,3639995471.5815816,0.0009077415817135254,Stablecoins,41429.901040196346,145102019.7506496,9048023585.148762,0.016036874615227247
2021-12-04 00:00:00+00:00,48479430.521254145,1216592080.2934403,0.039848550148017546,WBTC,126806.40886413888,145102019.7506496,9048023585.148762,0.016036874615227247
2021-12-03 00:00:00+00:00,94325807.70464286,4023365817.6415615,0.023444501936921876,ETH,271618.49926761637,154750929.3667021,9018394452.579906,0.01715947668738666
2021-12-03 00:00:00+00:00,677415.3662292042,24186850.841090817,0.028007588531465597,Lending Protocols,1855.932510216998,154750929.3667021,9018394452.579906,0.01715947668738666
2021-12-03 00:00:00+00:00,1905026.0417381437,235670055.10890332,0.008083445479986117,Liquidity Pools,983.0450912138509,154750929.3667021,9018394452.579906,0.01715947668738666
2021-12-03 00:00:00+00:00,2342606.4869446363,141612905.62950665,0.016542323431124682,Others,7825.201777073052,154750929.3667021,9018394452.579906,0.01715947668738666
2021-12-03 00:00:00+00:00,549179.2535096556,13881850.50415103,0.03956095430832056,RWA,61.92952262438933,154750929.3667021,9018394452.579906,0.01715947668738666
2021-12-03 00:00:00+00:00,3303760.9477673555,3283945350.425643,0.0010060340825523008,Stablecoins,,154750929.3667021,9018394452.579906,0.01715947668738666
2021-12-03 00:00:00+00:00,51647133.565870225,1295731622.4290493,0.03985943745746491,WBTC,158445.07301600615,154750929.3667021,9018394452.579906,0.01715947668738666
2021-12-02 00:00:00+00:00,93963651.52893305,4007098268.402412,0.023449300524989464,ETH,241862.30630703038,154851644.3170328,9032121663.579227,0.017144548101189833
2021-12-02 00:00:00+00:00,1082129.5766679673,35885356.85836083,0.030155185050524166,Lending Protocols,2964.738566213609,154851644.3170328,9032121663.579227,0.017144548101189833
2021-12-02 00:00:00+00:00,1893643.698169024,235555577.76798627,0.008039052677556184,Liquidity Pools,389.8073189806045,154851644.3170328,9032121663.579227,0.017144548101189833
2021-12-02 00:00:00+00:00,2334280.5928768697,141137037.4089765,0.01653910720906493,Others,1214.6618252355127,154851644.3170328,9032121663.579227,0.017144548101189833
2021-12-02 00:00:00+00:00,548225.6772363153,13860659.918560885,0.03955263894053005,RWA,1874.8045946877692,154851644.3170328,9032121663.579227,0.017144548101189833
2021-12-02 00:00:00+00:00,3303760.947767355,3300895467.4841676,0.001000868091798548,Stablecoins,,154851644.3170328,9032121663.579227,0.017144548101189833
2021-12-02 00:00:00+00:00,51725952.29538224,1297689295.7387643,0.039860043898978965,WBTC,121278.40709876757,154851644.3170328,9032121663.579227,0.017144548101189833
2021-12-01 00:00:00+00:00,93571332.69683982,3998324765.069482,0.023402634401863992,ETH,246091.0225104244,154422231.11523417,9011826517.492737,0.017135508635845044
