snapped_at,market_cap,total_volume
1401321600000,8534360949.0,27526159.280065566
1401408000000,9226455106.0,61939135.31477406
1401494400000,9447775297.0,33233470.248628102
1401580800000,9376448558.0,70328522.78833126
1401667200000,9803894050.0,55263676.70898103
1401753600000,10006575076.0,49125434.22294106
1401840000000,8905633802.0,52830950.84831387
1401926400000,9794615819.0,35398117.27666412
1402012800000,9653191320.0,21873523.03558555
1402099200000,9988085215.0,18213082.976515777
1402185600000,9735003520.0,12810830.806896484
1402272000000,9706798315.452682,22877166.239327427
1402358400000,9993681321.334915,23355862.238892175
1402444800000,9433631347.708822,26851054.525610205
1402531200000,8506045328.054611,48277593.13808252
1402617600000,8925496727.761688,43611424.42731123
1402704000000,8517582648.538197,39279314.78177395
1402790400000,8725911362.527994,23782031.22492456
1402876800000,8872457054.275627,31951155.06905359
1402963200000,8996032140.500378,20494730.354518034
1403049600000,8942783535.435638,23724950.280692097
1403136000000,8825204486.024824,18253513.5197973
1403222400000,8869664385.138855,25134778.590500884
1403308800000,8787861397.688387,15703778.29220585
1403395200000,8854847122.61662,14367083.197432186
1403481600000,8617319934.788471,17806464.521382295
1403568000000,8480993824.923674,17032486.93876832
1403654400000,8194371747.269808,25590602.012211356
1403740800000,8385569720.633507,19920001.70347489
1403827200000,8569476382.152375,26723808.161543615
1403913600000,8494569723.090268,21468745.50382132
1404000000000,8334836538.02216,14814110.739077795
1404086400000,9025562070.474195,58956851.15159921
1404172800000,9172687367.272493,50025773.22048584
1404259200000,9147501502.025251,42528984.940160185
1404345600000,9103965659.94397,26422221.021663725
1404432000000,8896885434.442299,29517136.128014088
1404518400000,8660108588.036095,18405265.193338208
1404604800000,8937086319.834547,17413259.85360315
1404691200000,8790826577.7212,28564774.277864333
1404777600000,8581856699.091543,15722337.41687024
1404864000000,8585760450.241461,15734306.307541318
1404950400000,8516643590.574102,22215393.358471546
1405036800000,8725232864.171787,22057944.404724337
1405123200000,8787509323.092192,22873639.039800417
1405209600000,8709109857.914333,19775333.89595358
1405296000000,8579097230.999829,2652695177.4002337
1405382400000,8584945250.028112,17238322.397592332
1405468800000,8510570780.077715,21039875.898220208
1405555200000,8645646578.588608,21828986.755779587
1405641600000,8758880868.719955,21684512.45884931
1405728000000,8739796574.46067,15641080.074434211
1405814400000,8663039286.282953,8175217.73340657
1405900800000,8679681491.575861,11925013.30936922
1405987200000,8657042904.462112,11175368.96583038
1406073600000,8644229442.172844,13011104.570185801
1406160000000,8376458452.519212,30918486.0246952
1406246400000,8383840585.540691,26031778.128852837
1406332800000,8288991450.163783,14546201.420530023
1406419200000,8249903719.914468,12802177.402481234
1406505600000,8173254586.888049,27506321.990438398
1406592000000,8131203225.090741,15278918.19991391
1406678400000,7816287636.126855,23007453.382305857
1406764800000,8140456540.3987,29479406.055723514
1406851200000,8293716012.013042,27357972.212989073
1406937600000,8237988225.864705,12372675.883106573
1407024000000,8199177844.597725,11792268.416987186
1407110400000,8198154416.44455,14718449.127751734
1407196800000,8137459094.058851,16038653.885530505
1407283200000,8151536766.014559,15901874.862752706
1407369600000,8203601756.929727,17283652.690430574
1407456000000,8251258554.943953,16193638.07176897
1407542400000,8205227852.192215,12817452.235369042
1407628800000,8202694533.626713,11578791.644158969
1407715200000,7972071014.017522,24411938.1381163
1407801600000,7878732962.365965,24239985.894198135
1407888000000,7540818755.870669,46535947.44567186
1407974400000,7010564927.061737,53397462.900029264
1408060800000,6860688927.4687605,35358971.07875936
1408147200000,7238089028.385397,31084266.879539687
1408233600000,6863377153.013021,33375879.14564006
1408320000000,6368563793.532236,70644082.09760365
1408406400000,6748793502.504919,56374414.904409274
1408492800000,7193892900.010955,68783164.30255355
1408579200000,7231593464.664535,59673565.12172147
1408665600000,7234277626.608321,42872341.32619851
1408752000000,6954320149.524623,29320974.18978014
1408838400000,7139943307.809563,27568203.956620578
1408924800000,7067336724.659853,22389884.68004676
1409011200000,7304256001.47466,29607097.0620449
1409097600000,7296175986.367384,30114885.601950046
1409184000000,7236874754.814493,24402839.872949097
1409270400000,7244182396.706602,20552692.548886243
1409356800000,7164399438.144186,14432284.663628655
1409443200000,6860475510.057145,51077106.31755338
1409529600000,6799219715.763655,22934956.717337873
1409616000000,6774955273.677611,26059672.276034478
1409702400000,6797336065.276911,17299690.280511506
1409788800000,7015926759.77685,29465486.975934096
1409875200000,6895819947.415768,17797862.51906119
1409961600000,6931807170.435608,13749077.408683518
1410048000000,6911260346.833012,11825245.802720288
1410134400000,6791673517.578636,32983000.962900486
1410220800000,6802698157.907285,24422544.52967745
1410307200000,6897289864.136927,27674710.829644248
1410393600000,6896752261.025669,20676885.474562913
1410480000000,6859918897.064683,17586867.945869982
1410566400000,6902617282.927909,19275905.336533707
1410652800000,6900941102.958462,18918559.962571766
1410739200000,6864669556.826551,19805373.07216978
1410825600000,6731691154.833496,23126513.896855153
1410912000000,6641427084.796674,34040226.11142612
1410998400000,6211661242.395519,62257398.54125948
1411084800000,5766923835.113718,56334624.929086246
1411171200000,5980533419.959366,58701509.56941841
1411257600000,5804758838.123791,39165769.45751839
1411344000000,5838937702.836576,28881448.73430733
1411430400000,6338710258.681953,67216760.98333254
1411516800000,6165470557.467545,39050949.594584
1411603200000,5984956490.8410635,37723637.46337333
1411689600000,5928028217.035812,33451521.40003562
1411776000000,5860478420.369484,22397099.727687363
1411862400000,5565577974.395875,35180036.377140485
1411948800000,5507663329.887923,42011068.29103481
1412035200000,5714895288.777052,39164848.95652385
1412121600000,5621611954.5139885,29603467.784214206
1412208000000,5497921986.177339,23690802.753916655
1412294400000,5281945577.583533,33060614.128147803
1412380800000,4879116244.721532,50246874.24763038
1412467200000,4833469233.948817,89316416.94227146
1412553600000,4895087038.731414,84718418.21579331
1412640000000,4938836115.534896,50294496.19718549
1412726400000,5237183818.102052,57086829.364945166
1412812800000,5311338248.217582,87328143.2786193
1412899200000,5287577830.963928,46051396.27409595
1412985600000,5316242885.064812,35835191.0147208
1413072000000,5525493344.607267,33438579.192746773
1413158400000,5700905979.741722,59624883.716287635
1413244800000,5866129881.532052,78113541.72388248
1413331200000,5775665102.481195,53427663.593199715
1413417600000,5596882378.318785,52608703.83615779
1413504000000,5615176527.846756,42215131.11001947
1413590400000,5743548961.5136595,46925621.5013898
1413676800000,5708007861.049596,35481643.02747837
1413763200000,5604213219.515205,36027439.12253827
1413849600000,5652010099.502844,36031045.94676555
1413936000000,5606289969.634324,25860624.14116897
1414022400000,5273144269.326852,51887393.56505051
1414108800000,5248699276.855304,35424623.98645722
1414195200000,5133937595.526393,37088140.864962496
1414281600000,5173195788.044555,29595934.33688643
1414368000000,5167063237.053929,43228717.167227186
1414454400000,5207039557.767256,28954512.21668573
1414540800000,4942357430.535727,46213755.269155115
1414627200000,5088316326.359292,62774134.672676295
1414713600000,4986831200.741079,33074496.823216278
1414800000000,4792569208.48146,41226907.09112721
1414886400000,4800048623.91489,30626270.169087343
1414972800000,4809423761.213139,42829119.97727434
1415059200000,4866587322.124589,37063138.62525244
1415145600000,5011151505.466727,46989286.501476735
1415232000000,5151780658.825795,45880732.80686923
1415318400000,5057805084.441302,42830725.78631813
1415404800000,5111687945.768187,32277333.061851677
1415491200000,5386458484.479761,53932673.2298885
1415577600000,5387889972.412569,65712151.51612745
1415664000000,5419404055.544732,48028800.09429107
1415750400000,6169588233.162117,242085811.58080438
1415836800000,6114310307.792159,347965121.71307176
1415923200000,5843122901.314276,267777787.041241
1416009600000,5587415407.576793,102011459.9212908
1416096000000,5738164506.122557,97669868.80130716
1416182400000,5700656347.60303,156152351.1423583
1416268800000,5555540281.650616,112319970.87878865
1416355200000,5599205236.845834,86766750.2327949
1416441600000,5306193826.786941,97578193.58273354
1416528000000,5247581494.926213,103371748.81722838
1416614400000,5309209728.116462,72055639.10024993
1416700800000,5575104069.706184,74804242.56793937
1416873600000,5683869973.877423,120715158.64195499
1416960000000,5589190352.57587,97493369.26095222
1417046400000,5762891895.985053,77719445.24748798
1417132800000,5923315394.405284,96026828.5894047
1417219200000,5870841095.08471,104658667.69747482
1417305600000,5801993056.991794,78987333.07168773
1417392000000,5888742489.395197,68939263.43901964
1417478400000,5940797808.86293,71160140.89332125
1417564800000,5852322277.989146,77460082.60612473
1417651200000,5766695661.804076,66657089.07723039
1417737600000,5898577917.382925,60772900.27634104
1417824000000,5882797925.601606,51640782.70479705
1417910400000,5911396532.226896,41782973.85149931
1417996800000,5677957857.675155,71674023.43429577
1418083200000,5571318291.270268,93946524.47973159
1418169600000,5543577174.466587,62404032.679921605
1418256000000,5554651333.876363,122359909.66836187
1418342400000,5623797325.284648,53972609.615161
1418428800000,5590966297.654804,41396737.82246476
1418515200000,5639049228.163473,46193632.97833385
1418601600000,5587675191.656085,35306754.44801239
1418774400000,5548001339.135144,85305345.96459495
1418860800000,5465747700.087605,98202594.50429215
1419033600000,5593734050.571901,72888415.6432175
1419120000000,5377097208.455843,65829777.346232384
1419206400000,5701618135.918536,57317142.21957973
1419292800000,5685407363.9222145,64175194.191126466
1419379200000,5490180326.176138,42086666.998470515
1419465600000,5460820710.99445,84290025.28873743
1419552000000,5642085481.167749,103392574.81609787
1419638400000,5413884579.296356,152484296.28205934
1419724800000,5442061460.647112,74393167.96334001
1419811200000,5498266589.096023,105466601.37784444
1419897600000,5453664932.498397,77338586.70415954
1419984000000,5538840020.797433,75976617.70799899
1420070400000,5466584315.512345,50018353.53783219
1420156800000,5451223256.189383,43126557.110284045
1420243200000,4937306929.742288,138886875.16856292
1420329600000,4471233804.2088585,228084054.4958925
1420416000000,4695188473.470569,172143121.62964395
1420502400000,4884619648.64803,108278990.49131064
1420588800000,5037238661.067414,123546499.68188576
1420675200000,4871397508.663105,94639874.07844178
1420761600000,4933677081.939135,89930231.55562285
1420848000000,4664089193.526617,108571961.78111854
1420934400000,4542714386.427013,96159594.70691498
1421020800000,4559059917.00533,91719551.07910196
1421107200000,3790715718.572878,238871624.65317303
1421366400000,3592591932.751177,193117685.54143423
1421452800000,3468489490.551545,116813170.96573624
1421539200000,3604082746.478828,130417259.56463915
1421625600000,3691754353.5455933,113046711.67533784
1421712000000,3637220509.421557,102004825.41806255
1421798400000,3848253479.769112,106134006.61637823
1421884800000,3976167420.662245,161720828.9832126
1421971200000,3981592724.1369667,133058438.18713439
1422057600000,4212548236.231332,157013779.0466328
1422144000000,4308403527.369834,195461943.10644978
1422230400000,4524127537.506159,440832150.63203007
1422316800000,4339128064.935086,365871781.3742011
1422489600000,3916456737.4369006,176087466.76702347
1422576000000,3855604995.723823,115487334.23259775
1422662400000,3700358256.7336774,97979354.90474878
1422748800000,3809687344.9247465,113750509.76257297
1422835200000,3986653101.7963524,118602963.31002657
1422921600000,3760332509.537942,147251322.01625064
1423008000000,3763948816.232417,89728215.72285983
1423094400000,3670927483.788418,79324274.10804242
1423180800000,3793260387.4863076,94402107.21247402
1423267200000,4224412940.9300513,87393468.01424406
1423353600000,3783512253.881451,80960835.63729772
1423440000000,3724840279.282867,84958265.09673838
1423526400000,3722689334.7170987,72125908.25307374
1423612800000,3706203651.586991,69631446.239732
1423699200000,3757606516.584458,55037593.78416337
1423785600000,3973398887.2723374,146091321.92759994
1423872000000,4322836265.257966,173311306.41200757
1423958400000,3901302540.250353,211790762.076393
1424044800000,3945481683.0921974,132993609.07107662
1424131200000,4116414675.268368,125710442.07403709
1424217600000,3925181076.248092,91476054.51868367
1424304000000,4009173190.333335,73065138.63288271
1424390400000,4057218829.9995327,83606252.80704695
1424476800000,4063559608.439599,66026128.588999435
1424563200000,3916785065.915424,77444373.58735289
1424649600000,3964207675.9492803,64153360.63865505
1424736000000,3977105331.7839093,61365107.55805004
1424822400000,3965880312.8292212,59926607.51885427
1424908800000,3948091996.113898,47390767.38129594
1424995200000,4207663784.594883,142970691.32722476
1425081600000,4189045099.8304853,88716789.00006866
1425168000000,4226058376.6031604,64140293.10026504
1425254400000,4404696614.14311,102220679.73543014
1425340800000,4501627977.797805,138912930.75846747
1425427200000,4362076904.268557,128453068.40489513
1425513600000,4437099865.786204,106196377.61333458
1425600000000,4389531761.924787,78428946.26214735
1425686400000,4591100706.69244,53253338.78576752
1425772800000,4406961252.497803,48674926.78336638
1425859200000,4648459868.333097,117360755.98272665
1425945600000,4689178305.75985,144468461.81660897
1426032000000,4706091510.963753,79779422.8617368
1426118400000,4688492351.738224,73320437.0701467
1426204800000,4604429441.3487015,72621492.74363597
1426291200000,4529973563.094002,67210841.03867204
1426377600000,4570109347.319845,35578616.39266982
1426464000000,4651047171.044074,66091581.38459893
1426550400000,4581751540.541055,58144232.89282456
1426636800000,4134308209.759881,133772443.68712969
1426723200000,4202386310.713122,145083183.84811032
1426809600000,4215906518.250571,63313012.0144808
1426896000000,4191353711.9992375,58605172.08376483
1426982400000,4312384354.0387745,54446910.14603241
1427068800000,4292699293.2198954,77215780.52509694
1427155200000,3973070809.6047916,160232800.50530845
1427241600000,3966177070.787079,188860988.7369397
1427328000000,3975624855.8790164,154536251.02959347
1427414400000,3978527742.3620567,93764375.83764985
1427500800000,4048268744.6415925,85103658.94056016
1427587200000,3894980070.8311467,87672648.50998433
1427673600000,3960408347.42424,100158723.70044316
1427760000000,3911732507.9841566,79842103.41026041
1427846400000,3931170232.0617685,81779025.87058567
1427932800000,4022879043.2417965,98603680.50594136
1428019200000,4072416706.6285505,97950896.43197463
1428105600000,4070944066.582297,65994665.428699225
1428192000000,4150101018.14511,85897167.90297374
1428278400000,4090534638.9710746,87233813.88933015
1428364800000,4070447758.5159173,91773249.63749042
1428451200000,3945039544.98372,111084553.45597209
1428537600000,3914103094.7237787,98847391.6579091
1428624000000,3770467099.7691693,116290604.80753376
