Cycle Day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,Step
2022-06-01 00:00:00+00:00,4496384725.762585,40951842.68026757,801223703.2447767,255487537.5185585,207067120.2450659,73265226.26179355,3452625809.5879364,After
2022-06-02 00:00:00+00:00,4405630920.50227,42744449.44867921,778174278.0661879,248695070.07564163,206610500.156893,110926202.95222324,3480302292.263672,After
2022-06-03 00:00:00+00:00,4455332328.348583,-124374407.31766582,640163096.0734816,274824613.5913429,189749770.06777403,-70727636.17540127,3778133626.1040955,After
2022-06-04 00:00:00+00:00,4447512414.557934,-88081499.02190661,665695440.1649427,269217013.8182869,191030816.6174948,-35690011.7567001,3722832194.1316986,After
2022-06-05 00:00:00+00:00,4495152645.68092,-40160228.53959823,677923325.0761976,260949973.63290787,192880294.86165068,39705047.9542374,3688506902.330078,After
2022-06-06 00:00:00+00:00,4534424957.402142,12300183.492731333,764200052.5254774,259336548.06108475,196792817.46419737,50070678.20619053,3644765859.6899414,After
2022-06-07 00:00:00+00:00,4393845640.561291,11682666.246100664,768853528.3366346,253281955.50064468,199506611.43213865,98197064.9429459,3632346591.6998596,After
2022-06-08 00:00:00+00:00,4368294616.76289,19710679.663808107,796763809.6890516,250650908.7478981,201803006.99823973,183372580.16633457,3593599841.932602,After
2022-06-09 00:00:00+00:00,4306112240.350079,31056923.36528802,820982296.2777967,249311976.54005814,204655306.06567594,220237814.0813126,3571996391.9079437,After
2022-06-10 00:00:00+00:00,4063175917.405559,-113745951.99321628,571538972.9776716,246475071.57231522,173607904.88342497,62457704.253218114,3925417005.382889,After
2022-06-11 00:00:00+00:00,3681430379.6443896,-133146340.62849689,569188405.1204481,244812850.0296135,181547955.05170652,85194961.05018467,3908135980.8478394,After
2022-06-12 00:00:00+00:00,3486563169.809215,-58444117.65811801,662902473.7362776,209522384.42653275,184433547.9631712,174476178.2259354,3914087025.3098907,After
2022-06-13 00:00:00+00:00,2853003847.4795947,-110015636.84976459,471564656.4966078,204530378.5064125,192779895.6335928,171224741.05973667,4013740405.9319916,After
2022-06-14 00:00:00+00:00,2608190937.78828,-32310679.547392607,444496255.69582653,183264607.77145767,202785516.69117185,219902853.79829258,4075685077.463455,After
2022-06-15 00:00:00+00:00,2648061222.197368,-21788307.215376616,482567340.6231642,177088513.53985977,203947487.49077818,307692092.58802646,3991930245.531204,After
2022-06-16 00:00:00+00:00,2201090415.4153857,43515546.20997453,450905566.14257336,151958734.17679214,206064835.62185118,381334916.75538486,4030350526.1030273,After
2022-06-17 00:00:00+00:00,2052599119.9218554,-81174014.59969592,583219658.8812513,153474486.05075455,177458739.1001074,159569637.41230625,4602567883.007446,After
