,dsr_balance,dsr_rate,dt,non_dsr_balance,total_balance
54,1424520643.363523,0.05000000082842315,2024-01-26T00:00:00Z,3739727805.042877,5164248448.406433
55,1420854323.6709826,0.05000000082842315,2024-01-25T00:00:00Z,3732684519.3896866,5153538843.060702
56,1415254227.093084,0.05000000082842315,2024-01-24T00:00:00Z,3712638943.2931514,5127893170.386268
57,1412575569.6152194,0.05000000082842315,2024-01-23T00:00:00Z,3691475622.8275886,5104051192.442841
58,1403631005.7384443,0.05000000082842315,2024-01-22T00:00:00Z,3680768718.9194846,5084399724.657963
59,1414710345.809278,0.05000000082842315,2024-01-21T00:00:00Z,3690147120.2255955,5104857466.034907
60,1414966499.6490846,0.05000000082842315,2024-01-20T00:00:00Z,3693704894.3469944,5108671393.996113
61,1419991837.8483906,0.05000000082842315,2024-01-19T00:00:00Z,3737268821.6616793,5157260659.510104
62,1434744378.049604,0.05000000082842315,2024-01-18T00:00:00Z,3685925764.591786,5120670142.641424
63,1433422742.0615747,0.05000000082842315,2024-01-17T00:00:00Z,3697240241.2613916,5130662983.323001
64,1443935888.3038564,0.05000000082842315,2024-01-16T00:00:00Z,3695674873.130692,5139610761.434583
65,1442147389.591293,0.05000000082842315,2024-01-15T00:00:00Z,3699601580.450151,5141748970.041478
66,1465316087.9896986,0.05000000082842315,2024-01-14T00:00:00Z,3697019988.4457884,5162336076.435521
67,1463568210.9422176,0.05000000082842315,2024-01-13T00:00:00Z,3723446299.1862864,5187014510.128539
68,1469135419.5106366,0.05000000082842315,2024-01-12T00:00:00Z,3714508692.6183314,5183644112.129003
69,1490265314.4845028,0.05000000082842315,2024-01-11T00:00:00Z,3741673240.75463,5231938555.239168
70,1466756100.5137353,0.05000000082842315,2024-01-10T00:00:00Z,3776744569.5873237,5243500670.101094
71,1465984069.9084656,0.05000000082842315,2024-01-09T00:00:00Z,3767209808.1543317,5233193878.062833
72,1454045611.1808372,0.05000000082842315,2024-01-08T00:00:00Z,3781401729.9584837,5235447341.139357
73,1446041841.7482312,0.05000000082842315,2024-01-07T00:00:00Z,3766418021.638016,5212459863.386283
74,1446971030.534904,0.05000000082842315,2024-01-06T00:00:00Z,3756055150.8283353,5203026181.363276
75,1443220273.8660965,0.05000000082842315,2024-01-05T00:00:00Z,3760341737.860215,5203562011.726348
76,1468589169.8121152,0.05000000082842315,2024-01-04T00:00:00Z,3751224807.3180046,5219813977.1301565
77,1474798912.1527636,0.05000000082842315,2024-01-03T00:00:00Z,3755805739.925508,5230604652.078308
78,1478419898.4635978,0.05000000082842315,2024-01-02T00:00:00Z,3743247007.554479,5221666906.018113
79,1481761316.7440047,0.05000000082842315,2024-01-01T00:00:00Z,3715927694.9012623,5197689011.645303
80,1465943819.5539489,0.05000000082842315,2023-12-31T00:00:00Z,3698603397.9204416,5164547217.474426
81,1473524721.6034818,0.05000000082842315,2023-12-30T00:00:00Z,3716135116.6757445,5189659838.279263
82,1473321215.843949,0.05000000082842315,2023-12-29T00:00:00Z,3727691581.1024847,5201012796.94647
83,1476760013.0287716,0.05000000082842315,2023-12-28T00:00:00Z,3725784569.2881794,5202544582.316987
84,1496209674.7765396,0.05000000082842315,2023-12-27T00:00:00Z,3736303151.644386,5232512826.420962
85,1510514816.8372388,0.05000000082842315,2023-12-26T00:00:00Z,3719175019.076175,5229689835.913451
86,1507415345.537384,0.05000000082842315,2023-12-25T00:00:00Z,3745867396.5539474,5253282742.091369
87,1520755158.7886493,0.05000000082842315,2023-12-24T00:00:00Z,3746302433.980204,5267057592.76889
88,1526690215.0055869,0.05000000082842315,2023-12-23T00:00:00Z,3742972673.894747,5269662888.900371
89,1509508398.1887898,0.05000000082842315,2023-12-22T00:00:00Z,3733618402.375231,5243126800.564057
90,1507105484.9373617,0.05000000082842315,2023-12-21T00:00:00Z,3721744935.2267647,5228850420.164163
91,1526604412.07121,0.05000000082842315,2023-12-20T00:00:00Z,3701720946.89922,5228325358.970466
92,1534381966.9483612,0.05000000082842315,2023-12-19T00:00:00Z,3695585769.795888,5229967736.744285
93,1540761477.5626612,0.05000000082842315,2023-12-18T00:00:00Z,3689067733.971574,5229829211.53427
94,1547058686.9316056,0.05000000082842315,2023-12-17T00:00:00Z,3673215173.621156,5220273860.552798
