day,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd,ETH Vault_dai_ceiling,stETH Vault_dai_ceiling,BTC Vault_dai_ceiling,Altcoin Vault_dai_ceiling,Stablecoin Vault_dai_ceiling,LP Vault_dai_ceiling,PSM Vault_dai_ceiling
2022-12-19 00:00:00+00:00,1633309951.4412975,621195962.4744532,211146058.20519078,127982004.13418855,3833548.6252700747,490700027.3393333,2347657011.517817,817918290.2249341,231172909.88058567,122603806.82876326,29693531.91094257,0.0,270111940.3174684,4139278788.4263835
2022-12-20 00:00:00+00:00,1693944306.8649364,633445718.7399254,213124029.10936022,127980588.29615006,3833548.6252700747,490700027.33933336,2367527548.974827,817918290.2249341,231172909.88058567,122603806.82876326,29693531.910942573,0.0,270111940.3174684,4139278788.4263835
2022-12-21 00:00:00+00:00,1691354542.7648194,633412628.7470871,213463450.59192926,127972538.17576303,3833548.6252700747,490365871.60999256,2370579337.444808,817918290.2249341,231172909.8805857,122603806.82876326,29693531.910942573,0.0,270111940.31746835,4139278788.4263835
2022-12-22 00:00:00+00:00,1658649707.8505514,630298703.266312,212074102.36817557,127970314.59799902,3833548.625270075,490365871.60999256,2361527026.93808,817918290.2249341,231172909.8805857,122603806.82876326,31193531.984231174,0.0,270111940.3174684,4139278788.4263835
2022-12-23 00:00:00+00:00,1698153868.5183752,645095495.8287834,212893502.69806534,127970314.59799902,3793548.625270075,490365871.60999256,2346674615.3454247,817918290.2249341,231172909.8805857,122603806.82876326,31193531.984231174,0.0,270111940.31746835,4139278788.4263835
2022-12-24 00:00:00+00:00,1701679030.7697706,644466701.0093288,213184027.93250662,127970314.59799902,3793548.625270075,490365871.6099925,2349586006.514321,817918290.2249341,231172909.88058567,122603806.82876326,31193531.984231174,0.0,270111940.31746835,4139278788.4263835
2022-12-25 00:00:00+00:00,1696775298.1132956,648643800.3001263,213334025.43523955,127970314.59799904,3793548.625270075,490328324.4591014,2339341272.8446,817918290.2249341,233189978.78679457,122603806.82876326,31193531.984231174,0.0,270111940.31746835,4139278788.4263835
2022-12-26 00:00:00+00:00,1687258548.284873,654497195.9160908,213860855.14357674,128013650.5345815,3793443.6252700747,490282975.18290156,2326595871.416,819133482.6997871,233189978.78679454,122603806.82876326,31193531.984231174,0.0,270111940.31746835,4139278788.4263835
2022-12-27 00:00:00+00:00,1677839152.68409,658630461.0280133,213420627.34671903,128013650.5345815,3793443.6252700747,490282975.18290156,2311701136.311411,819133482.6997871,238463153.15846923,122603806.82876326,31193531.984231178,0.0,270111940.31746835,4139278788.4263835
2022-12-28 00:00:00+00:00,1657392978.4460533,650798263.1013223,211521680.8321553,127854195.61642778,3793443.625270075,491151210.5716303,2269070314.088822,819133482.6997871,238463153.15846923,122603806.82876326,31214584.894797906,0.0,270111940.31746835,4139278788.4263835
2022-12-29 00:00:00+00:00,1660068611.187426,644040583.1054187,210357442.01160172,127766157.98320718,3793443.6252700747,491146177.4996449,2267113997.469888,819133482.6997871,238463153.15846923,122603806.82876326,31214584.894797906,0.0,270111940.3174684,4139278788.4263835
2022-12-30 00:00:00+00:00,1655014418.5336986,643096300.9372175,209946158.2624137,127673414.53235911,3793443.6252700747,492453964.1001477,2251511867.3344326,819133482.6997871,238463153.15846923,122603806.82876326,31214584.894797906,0.0,270111940.31746835,4139278788.4263835
2022-12-31 00:00:00+00:00,1650821401.0738544,658800339.9996367,209789002.70663077,127606772.68913881,3793443.625270075,492454440.94643843,2245796212.7711887,819133482.6997871,241904653.15846923,122603806.82876326,31214584.894797906,0.0,270111940.3174684,4139278788.4263835
2023-01-01 00:00:00+00:00,1646518697.6038544,662585825.631964,210144754.57390508,127606772.68913883,3793443.625270075,492454440.94643843,2242609347.020773,819133482.6997871,244904653.15846923,122603806.82876326,31214584.894797906,0.0,270111940.31746835,4139278788.4263835
2023-01-02 00:00:00+00:00,1669594146.7769623,671894509.940697,211598084.18785194,127606818.84088631,3793443.625270075,492454440.94643843,2247193623.2140417,819133482.6997871,244904653.15846923,122603806.82876326,31214584.894797906,0.0,270111940.3174684,4139278788.4263835
2023-01-03 00:00:00+00:00,1665061068.1520083,669524120.5759472,211599027.6965559,127606818.84088632,3793443.625270075,492301885.9058184,2244871608.2754617,819133482.6997871,244904653.15846923,122603806.82876326,31214584.894797906,0.0,270111940.31746835,4139278788.4263835
2023-01-04 00:00:00+00:00,1786306461.218222,690481830.748845,214023227.5053203,127670142.70134094,3793443.625270075,490034950.02203465,2230278125.90524,844275691.0485411,244904653.15846923,122603806.82876326,31205265.67892806,0.0,270111940.31746835,4139278788.4263835
2023-01-05 00:00:00+00:00,1783001806.4058254,707186254.4317518,216774735.76988098,127670142.70134094,3793443.6252700747,490040138.50455064,2202166001.6415987,844275691.0485411,244904653.15846923,122603806.82876326,31205265.67892806,0.0,270111940.31746835,4139278788.4263835
2023-01-06 00:00:00+00:00,1803053327.9839113,709137452.2030267,216030371.7911227,127670142.70134094,3793443.625270075,490040138.5045507,2191366442.986458,844275691.0485411,246697515.41342473,122603806.82876326,31205265.67892806,0.0,270111940.3174684,4139278788.4263835
2023-01-07 00:00:00+00:00,1802267838.324594,708822601.2665379,217231634.32721806,127658876.7706513,3793443.6252700747,490155238.8776158,2213516502.027742,844275691.0485411,246697515.41342473,122603806.82876326,31205299.082384776,0.0,270111940.31746835,4139278788.4263835
2023-01-08 00:00:00+00:00,1810177527.6643965,714141251.087132,218130123.90596703,127658876.77065131,3793443.625270075,490155238.8776158,2252289601.240694,844275691.0485411,246697515.41342473,122603806.82876326,31205299.082384776,0.0,270111940.31746835,4139278788.4263835
2023-01-09 00:00:00+00:00,1920539197.3002377,751923882.9848396,222081488.2130559,127741601.62693825,3793443.625270075,490459836.8757777,2249950520.811082,850246739.76874,246697515.41342473,122603806.82876326,31205299.082384776,0.0,270111940.3174684,4139278788.4263835
2023-01-10 00:00:00+00:00,1925232271.1940036,752982670.0334344,215099278.54283184,127741601.62693825,3793443.625270075,490459836.8757777,2248825184.1703176,850246739.7687399,246697515.41342473,122603806.82876326,31705299.00909617,0.0,270111940.31746835,4139278788.4263835
2023-01-11 00:00:00+00:00,1917328137.7763395,753915223.8348508,215095734.1439349,128123889.74790058,3793443.6252700747,491063225.7212601,2233916098.3666697,850246739.76874,246697515.41342473,122603806.82876326,31705299.00909617,0.0,270724506.5121689,4139278788.4263835
2023-01-12 00:00:00+00:00,2064480388.3051314,806209006.7629873,229457120.97570342,128114457.26643746,3793443.625270075,491228896.3612994,2218254192.435798,850246739.7687399,246697515.41342473,122603806.82876326,31705299.00909617,0.0,270724506.5121689,4139278788.4263835
2023-01-13 00:00:00+00:00,2084415188.9872608,807549776.7338035,239664484.76125807,128277496.95234899,3792493.6252700747,491416145.22791857,2239279720.8274264,850246739.7687399,248385479.25521004,122603806.82876326,31716216.411957167,0.0,270724506.5121689,4139278788.4263835
2023-01-14 00:00:00+00:00,2195221918.1934247,868650524.7383143,260109199.7762988,128431198.0498675,3792493.625270075,492151455.41742206,2249954954.825712,852253837.2759767,248385479.25521004,127505926.08016673,31720620.441554558,0.0,270724506.5121689,4139278788.4263835
2023-01-15 00:00:00+00:00,2221405452.732701,873525519.717856,259079445.35259596,128335516.88341518,3792439.1683340752,487613422.8976517,2259327812.6995997,852253837.2759767,248385479.25521004,127505926.08016673,31720620.441554558,0.0,270724506.5121689,4139278788.4263835
2023-01-16 00:00:00+00:00,2241414016.033369,886284062.486208,261124478.56696767,128740547.0453767,3792439.1683340752,487594567.65664345,2252770642.7014103,852253837.2759767,248385479.25521004,127505926.08016673,31702587.71914196,0.0,270724506.5121689,4139278788.4263835
2023-01-17 00:00:00+00:00,2260979619.3011646,874874248.9574332,263251347.3987765,128666553.34386668,3792439.1683340752,492252274.87081856,2248300311.0611644,852253837.2759767,248700033.9790969,127505926.08016673,31710478.34667661,0.0,269092056.78401035,4139278788.4263835
2023-01-18 00:00:00+00:00,2186686217.9438305,873697918.155354,260132920.07905465,128635444.46328929,3792439.1683340752,492252274.8708185,2258826903.4673705,852253837.2759767,250495683.68551254,127505926.08016673,31715480.584643126,0.0,269092056.78401035,4139278788.4263835
2023-01-19 00:00:00+00:00,2201501301.7084208,851628154.7312667,261318258.0209234,128511795.45820695,3792439.1683340752,491232719.9422101,2257290959.9830184,852253837.2759767,250495683.68551254,127505926.08016673,31758687.46785881,0.0,273025756.4901843,4139278788.4263835
2023-01-20 00:00:00+00:00,2338982694.920767,888431120.0214815,275788535.07555,128455059.92655241,3792439.1683340752,491232719.9422101,2254156688.4175096,852253837.2759767,250495683.68551257,127505926.08016673,31758687.46785881,0.0,273025756.4901843,4139278788.4263835
2023-01-21 00:00:00+00:00,2368175325.172048,926342208.6864855,288858025.2098826,128575420.49868089,3792439.1683340752,491751534.9154511,2274058831.0546527,852253837.2759767,250495683.68551254,127505926.08016673,31758687.46785881,0.0,273025756.4901843,4139278788.4263835
2023-01-22 00:00:00+00:00,2321141232.1108856,921173827.598799,285942764.4333031,128575420.49868089,3792439.168334075,491670749.75156164,2277221291.4531846,852253837.2759767,250495683.68551254,127505926.08016673,31758687.46785881,0.0,273025756.4901843,4139278788.4263835
2023-01-23 00:00:00+00:00,2319103965.2024536,955937301.5742197,284771232.06373274,129290049.69147944,3792439.1683340752,491671123.56396025,2265158379.929125,854376362.6497223,252446887.26525736,127505926.08016673,31725287.98707848,0.0,273025756.4901843,4139278788.4263835
2023-01-24 00:00:00+00:00,2282535756.440518,944018287.3921809,287641307.28135073,129461137.01357546,3792439.1683340752,491671097.1389436,2272879585.608553,854376362.6497223,266946887.2652574,130748175.50958073,31725287.98707848,0.0,273025756.4901843,4139278788.4263835
2023-01-25 00:00:00+00:00,2245200304.511292,938504334.2367897,283562401.48384523,129190766.27811569,3792439.168334075,491671097.1389437,2258720739.532371,854376362.6497223,275329565.58552647,130748175.50958073,31838862.28093393,0.0,273025756.4901843,4139278788.4263835
2023-01-26 00:00:00+00:00,2281493421.4940805,995221285.497972,288344147.9531697,129190766.27811569,3792439.1683340752,491721986.21161646,2222439341.979831,856451411.672909,275329565.58552647,130748175.50958073,31838862.28093393,0.0,273025756.4901843,4139278788.4263835
2023-01-27 00:00:00+00:00,2283968620.085703,986534376.5739887,290770426.4703092,129538812.83912952,3792439.168334075,483553363.61951935,2218782500.0676613,856451411.672909,286910508.4177698,130748175.50958073,31838862.28093393,0.0,273025756.4901843,4139278788.4263835
2023-01-28 00:00:00+00:00,2235881407.8578134,988730864.5652163,288440652.3617557,129617206.67775136,3792439.1683340752,483507900.5635545,2221118888.9076424,856451411.672909,286910508.4177698,130748175.50958073,31838862.28093393,0.0,273025756.4901843,4139278788.4263835
2023-01-29 00:00:00+00:00,2333096794.8663807,1011859378.0900525,296926688.5114737,129875943.297022,3792439.1683340752,483507900.5635545,2216894992.5175943,856451411.672909,286910508.4177698,130748175.50958073,31838862.28093393,0.0,273025756.4901843,4139278788.4263835
2023-01-30 00:00:00+00:00,2248071006.9491043,996107890.39154,288200641.1066912,129772041.1391167,3792439.1683340752,534174007.2537886,2172186085.941324,856451411.672909,300018610.2795861,130748175.50958073,31839456.568612836,0.0,281720054.556775,4139278788.4263835
2023-01-31 00:00:00+00:00,2247688183.999616,1006682585.2344967,290015504.66669714,129772041.1391167,3792439.1683340752,534174007.2537886,2153518644.9360805,856451411.672909,300018610.279586,130748175.50958073,31839456.568612836,0.0,281720054.556775,4139278788.4263835
2023-02-01 00:00:00+00:00,2310932648.1766763,1006767424.3546058,291630104.8854665,129776154.63316634,3792439.1683340752,532131298.7412734,2154994723.1786394,856451411.672909,300798489.05577815,130748175.50958073,31839456.568612836,0.0,281720054.556775,4139278788.4263835
2023-02-02 00:00:00+00:00,2376269958.1816945,1070614165.5985923,299127066.986261,129783060.92104356,3792439.1683340752,531951635.05617994,2162673480.7817364,856451411.672909,300798489.05577815,130748175.50958073,31839456.568612836,0.0,281720054.556775,4139278788.4263835
2023-02-03 00:00:00+00:00,2339583776.1327353,1054200813.5884172,293001967.18770117,129820884.21895327,3792439.168334075,531951635.05617994,2162425830.57877,856451411.672909,300798489.05577815,130748175.50958073,31839456.568612836,0.0,281720054.556775,4139278788.4263835
2023-02-04 00:00:00+00:00,2386701711.6031227,1056744609.7415404,296711188.72070915,129820884.21895327,3792439.1683340752,534414423.53021055,2166648084.74298,866480773.1043276,300798489.0557781,130748175.50958073,31839456.568612836,0.0,281720054.556775,4139278788.4263835
2023-02-05 00:00:00+00:00,2306251460.2793713,1044562295.5010755,291328788.9248877,129820884.21895327,3792439.168334075,534958347.7756781,2174898693.529741,866480773.1043277,300798489.05577815,130748175.50958073,31839456.568612836,0.0,281720054.556775,4139278788.4263835
2023-02-06 00:00:00+00:00,2323890948.865823,1073286191.0768573,290565189.201338,129820884.21895328,3792439.1683340752,534117500.5392232,2150792242.0558167,866480773.1043277,304622499.72848475,130748175.50958073,31839456.568612836,0.0,281720054.556775,4139278788.4263835
2023-02-07 00:00:00+00:00,2355254178.553174,1068873938.0103507,291442966.89332557,129820884.21895328,3792439.168334075,533986925.71934754,2141624407.881013,866480773.1043277,304622499.72848475,133100298.4227466,31839456.568612836,0.0,281720054.556775,4139278788.4263835
2023-02-08 00:00:00+00:00,2355582441.3503656,1086276076.0369503,292513707.3141431,160494648.05818886,3792439.1683340752,533986925.71934754,2140408911.9175928,866480773.1043277,304622499.72848475,133100298.4227466,31846490.991870064,0.0,281720054.556775,4139278788.4263835
2023-02-09 00:00:00+00:00,2180997582.200769,1004792950.0676538,278047677.6174339,162830088.0982448,3792439.168334075,533986925.71934754,2129297938.630072,866480773.1043277,304622499.72848475,133100298.4227466,31846490.991870064,0.0,281720054.556775,4139278788.4263835
2023-02-10 00:00:00+00:00,2151716504.7287245,1089458473.1307323,274550101.54327846,162836335.9835228,3792439.168334075,532626284.60659695,2090552161.6434183,866480773.1043276,319372535.75440305,133100298.4227466,31846490.991870064,0.0,281720054.556775,4139278788.4263835
2023-02-11 00:00:00+00:00,2145321439.3958917,1146100835.820342,274075132.7208332,162836335.9835228,3792439.1683340752,532626284.6065969,2068128596.1223264,866480773.1043276,335914598.05905807,133100298.4227466,31846490.991870064,0.0,281720054.556775,4139278788.4263835
2023-02-12 00:00:00+00:00,2148626269.141417,1157914511.7604108,276720585.2548937,162836335.98352283,3792439.168334075,529263011.67304003,2067784456.9940605,866480773.1043276,350909726.64080626,133100298.4227466,31846490.991870064,0.0,281720054.556775,4139278788.4263835
2023-02-13 00:00:00+00:00,2089222478.863802,1134212997.2814112,274209574.3901649,162584532.03201914,3792439.168334075,529263011.67304003,2082414668.6963692,866480773.1043277,351302291.4997324,133100298.4227466,31846490.991870064,0.0,281720054.556775,4139278788.4263835
2023-02-14 00:00:00+00:00,2193547758.785225,1146188682.4937959,277862923.36586475,160049449.30910745,3792439.168334075,528185788.0764205,2075727426.9008763,866480773.1043277,351302291.4997324,133100298.4227466,31846490.991870064,0.0,281720054.556775,4139278788.4263835
2023-02-15 00:00:00+00:00,2347309953.657798,1203825387.966528,306215345.6785654,160049449.30910745,3792439.1683340752,523659499.5701459,2075145582.2185292,866480773.1043277,351302291.4997324,133100298.4227466,31846490.991870064,0.0,281720054.556775,4139278788.4263835
2023-02-16 00:00:00+00:00,2395103055.934427,1308204467.7888122,316581110.8447071,160690751.44419104,3792439.1683340752,523660737.16797966,2062381325.4182968,866480773.1043276,364959159.488702,133100298.4227466,32911403.30048648,0.0,281720054.556775,4139278788.4263835
2023-02-17 00:00:00+00:00,2394928120.2833977,1262601868.5647793,311465994.89656705,160804986.60773087,3792439.168334075,523660737.1679797,2049693616.587185,855993260.6230533,364959159.488702,133100298.4227466,32911403.30048648,0.0,281720054.556775,4139278788.4263835
2023-02-18 00:00:00+00:00,2367144354.7157536,1294810290.4358144,315661486.26645184,161608040.5962554,3792439.168334075,530756374.9130057,2062031124.5395048,908362421.1605973,364959159.488702,133100298.4227466,32911403.30048648,0.0,281720054.556775,3681003664.461171
2023-02-19 00:00:00+00:00,2374286383.2405457,1290606494.3097878,315605088.6523983,161608040.5962554,3792439.168334075,530582697.1405092,2064007953.361084,908362421.1605973,364959159.488702,133100298.4227466,32911403.30048648,0.0,281720054.556775,3681003664.461171
2023-02-20 00:00:00+00:00,2393524926.773497,1299610735.0320067,316387078.516609,161608040.5962554,3792439.168334075,530586920.35249496,2065405382.7154267,908362421.1605973,364959159.488702,133100298.4227466,32911403.30048648,0.0,281720054.556775,3681003664.461171
2023-02-21 00:00:00+00:00,2345595138.054398,1045846215.0175948,315590208.74297225,161398963.02727878,3792439.1683340752,530586920.352495,2137504873.9579616,910874347.9745135,292136614.78354836,133100298.4227466,32911403.30048648,0.0,281720054.556775,3681003664.461171
2023-02-22 00:00:00+00:00,2270175027.9301667,1039962267.749017,310728223.10551006,160942128.37162548,3792439.1683340752,530586920.352495,2141605507.8381567,912996911.7065817,293656865.2697147,135773287.29773045,32911403.30048648,0.0,281720054.556775,3681003664.461171
2023-02-23 00:00:00+00:00,2331813452.612923,1031763060.4601877,313446041.38256264,159262673.4410008,3792439.1683340752,529487525.3533737,2132666339.6289127,912996911.7065817,295417769.98784786,135773287.29773045,32911403.30048648,0.0,281720054.556775,3681003664.461171
2023-02-24 00:00:00+00:00,2278834622.778896,1019068674.8226998,310109833.55349743,166157042.88983756,3792439.1683340752,529487525.35337377,2132517690.4779108,912996911.7065817,295417769.98784786,136818530.34216228,32911403.30048648,0.0,281720054.556775,3681003664.461171
2023-02-25 00:00:00+00:00,2207193468.8887606,1012845994.0325822,298993018.3350643,165786841.7121781,3792439.1683340752,529204859.5735679,2130010543.431452,912996911.7065818,295417769.98784786,136818530.34216228,32911403.30048648,0.0,281720054.556775,3681003664.461171
2023-02-26 00:00:00+00:00,2325678022.202479,1081474114.516861,302038936.29263204,165786841.7121781,3792439.168334075,527769477.8823769,2124542156.8601267,912996911.7065818,302594303.278464,136818530.34216228,32911403.30048648,0.0,281720054.556775,3681003664.461171
2023-02-27 00:00:00+00:00,2285465733.6245995,1132902969.5083857,303474185.8346634,208190324.7706972,3792439.168334075,556561104.762643,2102531505.4042704,912996911.7065817,302594303.278464,136818530.34216228,24000000.0,0.0,291321166.67337644,3681003664.461171
2023-02-28 00:00:00+00:00,2279180404.362355,1163051522.934823,303588993.4422523,208190324.7706972,3792439.1683340752,673149658.0044819,2048258028.7422736,912996911.7065818,309916526.0175502,136818530.34216228,24000000.0,0.0,321197014.93518525,3681003664.461171
2023-03-01 00:00:00+00:00,2319725066.0044928,1194549793.2828279,305823509.25453633,208190324.77069724,3792439.168334075,706008444.0027472,2009804904.311972,912996911.7065818,321919455.36042523,136818530.34216228,24000000.0,0.0,341178781.50784206,3681003664.461171
2023-03-02 00:00:00+00:00,2305330449.5770497,1182937817.925307,302516207.075167,208181307.78804392,3792439.1683340752,713476014.0281674,2018457111.0770576,912996911.7065817,329617441.84777194,136818530.34216228,24000000.0,0.0,351170087.6364831,3681003664.461171
2023-03-03 00:00:00+00:00,2202025943.3274345,1160788971.806154,290018668.5561163,197188216.57587388,3792439.1683340752,713476014.0281674,2006283986.1299903,915062044.7657913,329617441.84777194,136818530.34216228,29000000.0,0.0,351170087.6364831,3681003664.461171
2023-03-04 00:00:00+00:00,2201893851.7914386,1126973421.3862658,290346788.41660196,196964329.80326498,3792439.168334075,713476014.0281672,2011576821.7565515,915062044.7657913,329617441.84777194,136818530.34216228,29000000.0,0.0,351170087.6364831,3681003664.461171
2023-03-05 00:00:00+00:00,2214952240.439287,1129660959.1208744,289661219.5545281,196964329.80326498,3792439.1683340752,713476014.0281672,2007964670.543868,915062044.7657913,329617441.84777194,136818530.34216228,29000000.0,0.0,351170087.6364831,3681003664.461171
2023-03-06 00:00:00+00:00,2216026419.631224,1129457499.4483514,291011924.6602908,196964329.80326498,3792439.168334075,713476014.0281672,2002062937.2012973,915062044.7657913,329617441.84777194,136818530.34216228,29000000.0,0.0,351170087.6364831,3681003664.461171
2023-03-07 00:00:00+00:00,2199373749.4916096,1125090131.4172974,290814551.1842949,196964329.803265,3792439.168334075,713476014.0281674,1990393410.5766368,915062044.7657913,329617441.84777194,136818530.34216228,29000000.0,0.0,351170087.6364831,3681003664.461171
2023-03-08 00:00:00+00:00,2200061035.713155,1120913871.0189528,285612761.94600654,196821904.54743695,3792439.1683340752,700288987.0496919,1978096291.9626503,915062044.7657913,329617441.84777194,136818530.34216228,29000000.0,0.0,354169068.8161589,3681003664.461171
2023-03-09 00:00:00+00:00,1996401546.5506246,1022468856.8194356,263013021.09355986,190988799.5750796,3792439.1683340752,693130803.291767,1951804022.005643,904929111.8371191,329617441.84777194,136818530.34216228,29000000.0,0.0,354169068.8161589,3681003664.461171
2023-03-10 00:00:00+00:00,1991287039.1488461,1003264223.0703329,256129444.84370017,189629868.67495066,3792439.1683340752,685404358.0383906,2166568327.807666,907202830.8598404,321190593.1378404,136818530.34216228,29000000.0,0.0,354169068.8161589,3930854478.1726007
2023-03-11 00:00:00+00:00,1992019982.213801,1012562056.6383011,230505856.47690427,36217890.05341725,3812439.168334075,625233268.9225445,3468795978.074235,896979716.2224554,321190593.1378404,136818530.34216228,29000000.0,0.0,358717702.28816605,3693805584.2949324
2023-03-12 00:00:00+00:00,2096771922.1615686,983511091.586017,236456895.11966348,35611650.67992148,3792440.1683340752,605613616.6714263,4175587303.808196,896979716.2224554,321190593.1378404,136818530.34216228,29000000.0,0.0,358717702.28816605,4643805560.218666
2023-03-13 00:00:00+00:00,2284015489.0334935,1066426984.4200219,268657070.25759387,38116329.493735835,234106.11366207543,582792595.1743203,4026760501.88536,896979716.2224554,321190593.1378404,136818530.34216228,29000000.0,0.0,358717702.28816605,5791983260.522808
2023-03-14 00:00:00+00:00,2312346537.521111,1101556629.6195643,286270084.65594673,41558857.23506163,230859.07841407543,609087157.9510049,3779979119.2653217,896979716.2224554,260041291.27396923,136818530.34216228,30000000.000000004,0.0,258717702.28816608,5791983260.522808
2023-03-15 00:00:00+00:00,2221730505.8662457,1073561537.5970298,271597169.7365196,41612298.05816427,190468.56841407542,662999175.3415877,3523040668.3824816,896979716.2224554,260041291.27396923,136818530.34216228,30000000.000000004,0.0,135393240.5981626,5075761252.015113
2023-03-16 00:00:00+00:00,2252542448.3530817,1050041644.0730256,274525808.2634079,41612298.05816427,190468.56841407542,562641711.5565308,3377433292.4029984,896979716.2224554,260041291.27396923,136818530.34216228,30000000.0,0.0,73673186.04138762,5075761252.015112
2023-03-17 00:00:00+00:00,2382009262.399501,1095882722.1102338,297803693.1461057,41831111.913738966,162286.1784140754,562518578.0834938,3262712114.6086617,896979716.2224554,260041291.27396923,136818530.34216228,30000000.000000004,0.0,73673186.04138762,5075761252.015112
2023-03-18 00:00:00+00:00,2431771056.361271,1147527993.1356516,302035756.33558923,43211157.59991196,162286.1784140754,575037125.6284525,3218022683.518981,896979716.2224554,260041291.27396923,136818530.34216228,30000000.000000004,0.0,83592560.05854535,4398697229.830748
2023-03-19 00:00:00+00:00,2419034403.05528,1097259662.7013943,310339553.9761308,43355386.77210969,162286.1784140754,574598699.1416227,3199064415.910809,896979716.2224554,260041291.27396923,136818530.34216228,30000000.000000004,0.0,83592560.05854535,4398697229.830748
2023-03-20 00:00:00+00:00,2366315404.931528,1114080621.4254665,312597292.20871127,42619828.733799085,162286.1784140754,556328410.0653292,3173508637.6536283,896979716.2224554,260041291.27396923,140352074.44009924,30000000.000000004,0.0,83592560.05854535,4398697229.830748
2023-03-21 00:00:00+00:00,2420892216.9769506,1247283845.218583,311127568.92454076,42604474.91262771,162286.1784140754,555542041.9504097,3123660887.637584,896979716.2224554,269159850.0704341,140352074.44009924,30000000.000000004,0.0,83592560.05854535,4215127640.522552
2023-03-22 00:00:00+00:00,2335606128.671672,1258984303.0454824,300749333.4325913,40065531.5500271,162286.1784140754,465622800.9927016,3080305334.831661,896979716.2224554,303305560.3146299,140352074.44009924,30000000.000000004,0.0,83592560.05854535,4215127640.522552
