,balance,dt,total_balance,wallet
126,327031259.7706891,2024-03-06 00:00:00.000 UTC,4761313685.993848,Other
127,66122939.36694773,2024-03-06 00:00:00.000 UTC,4761313685.993848,Lending
128,920001.0000000619,2024-03-05 00:00:00.000 UTC,4709526955.067487,Treasury
129,335727341.79741275,2024-03-05 00:00:00.000 UTC,4709526955.067487,Other
130,2247564914.1801996,2024-03-05 00:00:00.000 UTC,4709526955.067487,EOA
131,352367111.39324534,2024-03-05 00:00:00.000 UTC,4709526955.067487,Bridge
132,173532152.92141438,2024-03-05 00:00:00.000 UTC,4709526955.067487,Dex
133,72701949.50540884,2024-03-05 00:00:00.000 UTC,4709526955.067487,Lending
134,31888838.460372683,2024-03-05 00:00:00.000 UTC,4709526955.067487,CeFi
135,1494824645.809433,2024-03-05 00:00:00.000 UTC,4709526955.067487,Dai Savings
136,31915288.90433904,2024-03-04 00:00:00.000 UTC,4910527126.045629,CeFi
137,180887827.98376024,2024-03-04 00:00:00.000 UTC,4910527126.045629,Dex
138,318897293.0564471,2024-03-04 00:00:00.000 UTC,4910527126.045629,Other
139,350798761.18797773,2024-03-04 00:00:00.000 UTC,4910527126.045629,Bridge
140,2439028989.3922777,2024-03-04 00:00:00.000 UTC,4910527126.045629,EOA
141,1517187402.0664423,2024-03-04 00:00:00.000 UTC,4910527126.045629,Dai Savings
142,70891562.45438486,2024-03-04 00:00:00.000 UTC,4910527126.045629,Lending
143,920001.0000000619,2024-03-04 00:00:00.000 UTC,4910527126.045629,Treasury
144,313736697.1794919,2024-03-03 00:00:00.000 UTC,4936530373.224472,Other
145,171282376.9594676,2024-03-03 00:00:00.000 UTC,4936530373.224472,Dex
146,69857306.86000994,2024-03-03 00:00:00.000 UTC,4936530373.224472,Lending
147,352023687.02658474,2024-03-03 00:00:00.000 UTC,4936530373.224472,Bridge
148,28778882.973325614,2024-03-03 00:00:00.000 UTC,4936530373.224472,CeFi
149,1509378306.820913,2024-03-03 00:00:00.000 UTC,4936530373.224472,Dai Savings
150,2490553114.4046783,2024-03-03 00:00:00.000 UTC,4936530373.224472,EOA
151,920001.0000000619,2024-03-03 00:00:00.000 UTC,4936530373.224472,Treasury
152,2486088005.279269,2024-03-02 00:00:00.000 UTC,4927990945.312213,EOA
153,349724278.7833949,2024-03-02 00:00:00.000 UTC,4927990945.312213,Bridge
154,163880095.63248003,2024-03-02 00:00:00.000 UTC,4927990945.312213,Dex
155,72700632.1195613,2024-03-02 00:00:00.000 UTC,4927990945.312213,Lending
156,28983961.755034104,2024-03-02 00:00:00.000 UTC,4927990945.312213,CeFi
157,1517219664.4912348,2024-03-02 00:00:00.000 UTC,4927990945.312213,Dai Savings
158,920001.0000000619,2024-03-02 00:00:00.000 UTC,4927990945.312213,Treasury
159,308474306.25123906,2024-03-02 00:00:00.000 UTC,4927990945.312213,Other
160,28306487.323852677,2024-03-01 00:00:00.000 UTC,4951098845.720744,CeFi
161,311562960.55171317,2024-03-01 00:00:00.000 UTC,4951098845.720744,Other
162,163093877.3940386,2024-03-01 00:00:00.000 UTC,4951098845.720744,Dex
163,75904959.67576814,2024-03-01 00:00:00.000 UTC,4951098845.720744,Lending
164,1481714930.5196257,2024-03-01 00:00:00.000 UTC,4951098845.720744,Dai Savings
165,346841627.9372333,2024-03-01 00:00:00.000 UTC,4951098845.720744,Bridge
166,2542754001.3185134,2024-03-01 00:00:00.000 UTC,4951098845.720744,EOA
167,920001.0000000619,2024-03-01 00:00:00.000 UTC,4951098845.720744,Treasury
168,67404475.10701488,2024-02-29 00:00:00.000 UTC,4930859236.179777,Lending
169,920001.0000000619,2024-02-29 00:00:00.000 UTC,4930859236.179777,Treasury
170,2722829652.304633,2024-02-29 00:00:00.000 UTC,4930859236.179777,EOA
171,1299397910.3518622,2024-02-29 00:00:00.000 UTC,4930859236.179777,Dai Savings
172,27401643.91466595,2024-02-29 00:00:00.000 UTC,4930859236.179777,CeFi
173,344276547.8496825,2024-02-29 00:00:00.000 UTC,4930859236.179777,Bridge
174,158106584.6330427,2024-02-29 00:00:00.000 UTC,4930859236.179777,Dex
175,310522421.0188763,2024-02-29 00:00:00.000 UTC,4930859236.179777,Other
176,1322436828.0513053,2024-02-28 00:00:00.000 UTC,4927248170.274426,Dai Savings
177,2691007115.042995,2024-02-28 00:00:00.000 UTC,4927248170.274426,EOA
178,28371858.75140571,2024-02-28 00:00:00.000 UTC,4927248170.274426,CeFi
179,170734354.6667609,2024-02-28 00:00:00.000 UTC,4927248170.274426,Dex
180,70342490.52108102,2024-02-28 00:00:00.000 UTC,4927248170.274426,Lending
181,303939346.94593906,2024-02-28 00:00:00.000 UTC,4927248170.274426,Other
182,339496175.29493946,2024-02-28 00:00:00.000 UTC,4927248170.274426,Bridge
183,920001.0000000619,2024-02-28 00:00:00.000 UTC,4927248170.274426,Treasury
184,32754212.00516328,2024-02-27 00:00:00.000 UTC,4909063922.111311,CeFi
185,1219798661.7410204,2024-02-27 00:00:00.000 UTC,4909063922.111311,Dai Savings
186,1075001.000000062,2024-02-27 00:00:00.000 UTC,4909063922.111311,Treasury
187,80077920.68705983,2024-02-27 00:00:00.000 UTC,4909063922.111311,Lending
188,285266865.06986904,2024-02-27 00:00:00.000 UTC,4909063922.111311,Other
189,330573217.5143195,2024-02-27 00:00:00.000 UTC,4909063922.111311,Bridge
190,2796510071.103723,2024-02-27 00:00:00.000 UTC,4909063922.111311,EOA
191,163007972.9901563,2024-02-27 00:00:00.000 UTC,4909063922.111311,Dex
192,279785148.11195016,2024-02-26 00:00:00.000 UTC,4898598621.3782015,Other
193,160741874.42809838,2024-02-26 00:00:00.000 UTC,4898598621.3782015,Dex
194,331185015.0356422,2024-02-26 00:00:00.000 UTC,4898598621.3782015,Bridge
195,87765472.1425278,2024-02-26 00:00:00.000 UTC,4898598621.3782015,Lending
196,30888935.043626063,2024-02-26 00:00:00.000 UTC,4898598621.3782015,CeFi
197,2827794237.33351,2024-02-26 00:00:00.000 UTC,4898598621.3782015,EOA
198,1179362938.2828472,2024-02-26 00:00:00.000 UTC,4898598621.3782015,Dai Savings
