,ETH Vault_collateral_usd,stETH Vault_collateral_usd,BTC Vault_collateral_usd,Altcoin Vault_collateral_usd,Stablecoin Vault_collateral_usd,LP Vault_collateral_usd,PSM Vault_collateral_usd
2023-03-24,2526112024.411667,984473378.9222087,1408190087.6263804,437868871.54023945,392767622.2010513,807873915.3973591,2101723147.0921624
2023-03-25,2480032944.3000464,1053320088.429518,1388814806.5845227,412073508.9906231,381329522.1245906,921233506.0159205,2059298063.3486931
2023-03-26,2495976256.5952344,1028668567.745023,1387795579.1026764,415936951.4840874,408751518.54099333,749560155.4203992,2062336917.748307
2023-03-27,2431418848.56436,1030006198.1216061,1353955051.645836,379912769.9859198,398937908.4068161,1146488031.4503357,2026589724.6937294
2023-03-28,2513957479.934471,1017265223.5804721,1402100384.0227892,420015202.7374846,422726619.0029466,1060433800.180737,2094834742.9699411
2023-03-29,2570622640.3682265,1043301903.5845916,1445822149.1259725,418149339.0022178,404105548.32911754,904605099.2393364,2138717979.6723287
2023-03-30,2589365141.093011,1035921197.1355383,1416288991.8159406,402478412.0221821,383891874.4116124,846934650.9918283,2120996529.206486
2023-03-31,2556441914.5439243,999262310.0068407,1413134929.42795,402036164.90848804,412345073.8058696,1077010664.1932614,2097528754.6085744
2023-04-01,2604547668.945151,1013186674.4509556,1432558560.8234615,422036513.8979035,388720865.7447868,965970338.4535731,2120336479.5012136
2023-04-02,2572324435.793213,1070775083.0845368,1417622546.0355418,405669509.407104,394974725.5995125,1123578043.6781936,2124103032.9547396
2023-04-03,2644865021.5959783,1077696629.594608,1460980182.984875,438587554.28603244,410575333.02415776,883623386.3941423,2175881865.784811
2023-04-04,2622559033.03467,1017420384.8503317,1445378402.0660274,406863099.25149626,408536103.3721873,992865708.4332178,2172913813.116989
2023-04-05,2638518934.8489437,1063907878.2875428,1415779692.6517842,408508983.9091931,402218221.3658377,948349239.202784,2160147041.3415008
2023-04-06,2642275819.4222946,1026165581.5343138,1412505557.5057237,418646920.5118802,398970282.4435176,918909327.7151142,2147735699.9846754
2023-04-07,2612771912.381364,1036023231.0862391,1430164377.415452,428344012.26608217,372914554.9966408,1016527708.2706355,2122703921.7663429
2023-04-08,2643358449.694095,1047395966.3517861,1424051099.4413884,403063108.55943596,383104867.01506466,1002022182.777063,2140316972.4506192
2023-04-09,2646891171.17355,1026722570.616601,1442781270.0978932,417464227.04935205,373132327.98396444,814531342.9827973,2146686987.3578014
2023-04-10,2584877747.949616,1036759032.2545602,1403304417.1857123,403056530.1649783,383042626.1073978,949015965.4510481,2092193639.3396916
2023-04-11,2576147899.067971,1062217220.8107684,1419582535.422438,423531629.07961345,398467664.4486784,960786698.7400178,2083366742.444178
2023-04-12,2597051948.3721447,1029275673.0969752,1379763638.0137353,415102561.25640243,393418129.0736087,914646350.276391,2112342499.3377447
