date,env reset start date,get state calculated portfolio value,action,mvo calculated current portfolio value,calculated optimized weights,current composition,agent weights updated to,current sortino ratio,target sortino ratio,current weights,target weights,current cumulative return,Distance penalty,Scaled Sortino diff,Reward,Reward no scale,dai ceilings
2022-12-06,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000000192, 'ETH Vault_collateral_usd': 0.05000000000001019, 'stETH Vault_collateral_usd': 0.4999999999999957, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000000163, 'LP Vault_collateral_usd': 0.07096980301279789, 'RWA Vault_collateral_usd': 0.019999999999993488, 'PSM Vault_collateral_usd': 0.14903019698720066}",,,,,,,,,,
2022-12-06,,,,,,,,-0.9652446904198005,,,,,,,,,
2022-12-06,,,,,,,,,4.207830162867307,,,,,,,,
2022-12-06,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.1614420610955401, 'ETH Vault_collateral_usd': 0.29206138717938124, 'stETH Vault_collateral_usd': 0.10947916115277262, 'Stablecoin Vault_collateral_usd': 0.048414720999267115, 'Altcoin Vault_collateral_usd': 0.0475383945466056, 'LP Vault_collateral_usd': 0.09195612428502721, 'RWA Vault_collateral_usd': 0.005787546108830089, 'PSM Vault_collateral_usd': 0.243320604632576}",,,,,,,
2022-12-06,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000000192, 'ETH Vault_collateral_usd': 0.05000000000001019, 'stETH Vault_collateral_usd': 0.4999999999999957, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000000163, 'LP Vault_collateral_usd': 0.07096980301279789, 'RWA Vault_collateral_usd': 0.019999999999993488, 'PSM Vault_collateral_usd': 0.14903019698720066}",,,,,,
2022-12-06,,,,,,,,,,,,0.6841594476017004,,,,,
2022-12-06,,,,,,,,,,,,,0.13037673478260553,,,,
2022-12-06,,,,,,,,,,,,,,5.173074853287107e-05,,,
2022-12-06,,,,,,,,,,,,,,,-0.11969194900676482,,
2022-12-06,,,,,,,,,,,,,,,,-1.0849883701750982,
2022-12-06,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19             4215499587  ...             3593103707
2021-11-20             4185875620  ...             3604384387
2021-11-21             4185229053  ...             3604384387
2021-11-22             4167338923  ...             3674297041
2021-11-23             4152215277  ...             3670722718
...                           ...  ...                    ...
2022-12-01             1062493933  ...             2477002986
2022-12-02             1057181463  ...             2464617971
2022-12-03             1051895556  ...             2452294881
2022-12-04             1046636078  ...             2440033407
2022-12-05             1041402898  ...             2427833240

[382 rows x 8 columns]"
2022-12-06,,,"{'stETH Vault_dai_ceiling': -0.29981806239401176, 'ETH Vault_dai_ceiling': 0.14960518760926522, 'BTC Vault_dai_ceiling': 0.17320307496585274, 'Altcoin Vault_dai_ceiling': 0.15002623588475456, 'Stablecoin Vault_dai_ceiling': -0.06521269549253467, 'LP Vault_dai_ceiling': 0.0, 'RWA Vault_dai_ceiling': 0.0, 'PSM Vault_dai_ceiling': -0.48031510070347616}",,,,,,,,,,,,,,
2022-12-31,,8992882440.865765,,,,,,,,,,,,,,,
2022-12-31,,,,9043752849.865765,,,,,,,,,,,,,
2022-12-31,,,,,"[0.1        0.05       0.5        0.1        0.01       0.07700326
 0.02       0.14299674]",,,,,,,,,,,,
2022-12-31,,,,,,"BTC Vault_collateral_usd          0
ETH Vault_collateral_usd          0
stETH Vault_collateral_usd        0
Stablecoin Vault_collateral_usd   0
Altcoin Vault_collateral_usd      0
LP Vault_collateral_usd           0
RWA Vault_collateral_usd          0
PSM Vault_collateral_usd          0
Name: 2022-12-30 00:00:00, dtype: float64",,,,,,,,,,,
2022-12-31,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000000883, 'LP Vault_collateral_usd': 0.07700325919783249, 'RWA Vault_collateral_usd': 0.02, 'PSM Vault_collateral_usd': 0.14299674080216748}",,,,,,,,,,
2022-12-31,,,,,,,,-0.8571086664400375,,,,,,,,,
2022-12-31,,,,,,,,,3.8140751699975914,,,,,,,,
2022-12-31,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.1640262531922216, 'ETH Vault_collateral_usd': 0.30323359271896433, 'stETH Vault_collateral_usd': 0.10374949820594129, 'Stablecoin Vault_collateral_usd': 0.04522380924482411, 'Altcoin Vault_collateral_usd': 0.04523277874419946, 'LP Vault_collateral_usd': 0.09688929775654859, 'RWA Vault_collateral_usd': 0.005624922512201898, 'PSM Vault_collateral_usd': 0.2360198476250987}",,,,,,,
2022-12-31,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000000883, 'LP Vault_collateral_usd': 0.07700325919783249, 'RWA Vault_collateral_usd': 0.02, 'PSM Vault_collateral_usd': 0.14299674080216748}",,,,,,
2022-12-31,,,,,,,,,,,,0.71949028280378,,,,,
2022-12-31,,,,,,,,,,,,,0.13297193429629497,,,,
2022-12-31,,,,,,,,,,,,,,4.671183836437629e-05,,,
2022-12-31,,,,,,,,,,,,,,,-0.1040139625649421,,
2022-12-31,,,,,,,,,,,,,,,,-0.9611693408433439,
2022-12-31,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19             4215499587  ...             3593103707
2021-11-20             4185875620  ...             3604384387
2021-11-21             4185229053  ...             3604384387
2021-11-22             4167338923  ...             3674297041
2021-11-23             4152215277  ...             3670722718
...                           ...  ...                    ...
2022-12-26             1074614891  ...             2194359055
2022-12-27             1076222570  ...             2183819217
2022-12-28             1077832655  ...             2173330003
2022-12-29             1079445149  ...             2162891171
2022-12-30             1081060055  ...             2152502478

[407 rows x 8 columns]"
2022-12-31,,,"{'stETH Vault_dai_ceiling': 0.47642700300361585, 'ETH Vault_dai_ceiling': 0.3727373844762061, 'BTC Vault_dai_ceiling': 0.14541962672095288, 'Altcoin Vault_dai_ceiling': 0.19471469956827897, 'Stablecoin Vault_dai_ceiling': 0.13966278488230116, 'LP Vault_dai_ceiling': 0.0, 'RWA Vault_dai_ceiling': 0.0, 'PSM Vault_dai_ceiling': 0.32526028186372924}",,,,,,,,,,,,,,
2023-01-25,,9356820120.564322,,,,,,,,,,,,,,,
2023-01-25,,,,9407690529.564323,,,,,,,,,,,,,
2023-01-25,,,,,"[0.1        0.05       0.5        0.1        0.01       0.08063944
 0.02       0.13936056]",,,,,,,,,,,,
2023-01-25,,,,,,"BTC Vault_collateral_usd          0
ETH Vault_collateral_usd          0
stETH Vault_collateral_usd        0
Stablecoin Vault_collateral_usd   0
Altcoin Vault_collateral_usd      0
LP Vault_collateral_usd           0
RWA Vault_collateral_usd          0
PSM Vault_collateral_usd          0
Name: 2023-01-24 00:00:00, dtype: float64",,,,,,,,,,,
2023-01-25,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000000174, 'ETH Vault_collateral_usd': 0.05000000000000293, 'stETH Vault_collateral_usd': 0.49999999999999833, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01, 'LP Vault_collateral_usd': 0.08063944314692785, 'RWA Vault_collateral_usd': 0.01999999999999631, 'PSM Vault_collateral_usd': 0.13936055685307447}",,,,,,,,,,
2023-01-25,,,,,,,,-0.696549678416089,,,,,,,,,
2023-01-25,,,,,,,,,3.6340880920073744,,,,,,,,
2023-01-25,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.16434269802475943, 'ETH Vault_collateral_usd': 0.30710750235368556, 'stETH Vault_collateral_usd': 0.10319516039380762, 'Stablecoin Vault_collateral_usd': 0.044828042797772964, 'Altcoin Vault_collateral_usd': 0.046717778460730074, 'LP Vault_collateral_usd': 0.10067473432252061, 'RWA Vault_collateral_usd': 0.005407321684332218, 'PSM Vault_collateral_usd': 0.22772676196239142}",,,,,,,
2023-01-25,,,,,,,,,,,"{'BTC Vault_collateral_usd': 0.10000000000000174, 'ETH Vault_collateral_usd': 0.05000000000000293, 'stETH Vault_collateral_usd': 0.49999999999999833, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.01, 'LP Vault_collateral_usd': 0.08063944314692785, 'RWA Vault_collateral_usd': 0.01999999999999631, 'PSM Vault_collateral_usd': 0.13936055685307447}",,,,,,
2023-01-25,,,,,,,,,,,,0.7772888095672517,,,,,
2023-01-25,,,,,,,,,,,,,0.13330556432116603,,,,
2023-01-25,,,,,,,,,,,,,,4.330637770423463e-05,,,
2023-01-25,,,,,,,,,,,,,,,-0.09302037100335589,,
2023-01-25,,,,,,,,,,,,,,,,-0.7896133557971491,
2023-01-25,,,,,,,,,,,,,,,,,"            ETH Vault_dai_ceiling  ...  PSM Vault_dai_ceiling
2021-11-19             4215499587  ...             3593103707
2021-11-20             4185875620  ...             3604384387
2021-11-21             4185229053  ...             3604384387
2021-11-22             4167338923  ...             3674297041
2021-11-23             4152215277  ...             3670722718
...                           ...  ...                    ...
2023-01-20             1168909689  ...             2304410566
2023-01-21             1173266652  ...             2311905898
2023-01-22             1177639856  ...             2319425610
2023-01-23             1182029360  ...             2326969780
2023-01-24             1186435225  ...             2334538489

[432 rows x 8 columns]"
2023-01-25,,,"{'ETH Vault_dai_ceiling': -0.5, 'stETH Vault_dai_ceiling': 0.5, 'BTC Vault_dai_ceiling': -0.5, 'Altcoin Vault_dai_ceiling': -0.25, 'Stablecoin Vault_dai_ceiling': 0.25, 'PSM Vault_dai_ceiling': -0.5}",,,,,,,,,,,,,,
2023-02-19,,8679776688.527367,,,,,,,,,,,,,,,
2023-02-19,,,,8730647097.527367,,,,,,,,,,,,,
2023-02-19,,,,,"[0.1        0.05       0.5        0.1        0.01       0.08900715
 0.02       0.13099285]",,,,,,,,,,,,
2023-02-19,,,,,,"BTC Vault_collateral_usd          0
ETH Vault_collateral_usd          0
stETH Vault_collateral_usd        0
Stablecoin Vault_collateral_usd   0
Altcoin Vault_collateral_usd      0
LP Vault_collateral_usd           0
RWA Vault_collateral_usd          0
PSM Vault_collateral_usd          0
Name: 2023-02-18 00:00:00, dtype: float64",,,,,,,,,,,
2023-02-19,,,,,,,"{'BTC Vault_collateral_usd': 0.1, 'ETH Vault_collateral_usd': 0.05, 'stETH Vault_collateral_usd': 0.5, 'Stablecoin Vault_collateral_usd': 0.1, 'Altcoin Vault_collateral_usd': 0.010000000000005326, 'LP Vault_collateral_usd': 0.08900714709399088, 'RWA Vault_collateral_usd': 0.02, 'PSM Vault_collateral_usd': 0.13099285290600948}",,,,,,,,,,
2023-02-19,,,,,,,,-0.7783769043707158,,,,,,,,,
2023-02-19,,,,,,,,,3.106658933480141,,,,,,,,
