day,BTC Vault_collateral_usd,ETH Vault_collateral_usd,stETH Vault_collateral_usd,Stablecoin Vault_collateral_usd,Altcoin Vault_collateral_usd,LP Vault_collateral_usd,RWA Vault_collateral_usd,PSM Vault_collateral_usd,BTC Vault_collateral_usd_Status,ETH Vault_collateral_usd_Status,stETH Vault_collateral_usd_Status,Stablecoin Vault_collateral_usd_Status,Altcoin Vault_collateral_usd_Status,LP Vault_collateral_usd_Status,RWA Vault_collateral_usd_Status,PSM Vault_collateral_usd_Status,Daily Portfolio Value
2020-05-30 00:00:00+00:00,25121964.016005594,469745552.8574418,0.0,3994353.826353997,2355122.5665495284,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,501216993.26635087
2020-05-31 00:00:00+00:00,25012123.162457284,467318628.93614423,0.0,2026007.4733649977,2348644.209330732,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,496705403.78129727
2020-06-01 00:00:00+00:00,25679732.3054545,470639108.5422268,0.0,1985676.5377389977,2402373.1153882733,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,500706890.50080854
2020-06-02 00:00:00+00:00,25535820.819753703,468742285.4015262,0.0,2010335.537738998,2329044.4487685817,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,498617486.20778745
2020-06-03 00:00:00+00:00,25609788.072020262,475886491.9810846,0.0,2007915.5377389977,2395799.48828848,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,505899995.0791323
2020-06-04 00:00:00+00:00,26196889.57271846,476495426.98910266,0.0,2007014.485738998,2628481.175034167,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,507327812.22259426
2020-06-05 00:00:00+00:00,26207434.154698916,474543405.86516273,0.0,2007311.125738998,2382757.92738586,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,505140909.0729865
2020-06-06 00:00:00+00:00,26072638.90103665,475252045.3634836,0.0,1976359.176315998,2396369.844073183,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,505697413.2849095
2020-06-07 00:00:00+00:00,26136113.302216638,476720111.34307086,0.0,1921323.6358189979,2354779.367084057,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,507132327.6481906
2020-06-08 00:00:00+00:00,26148889.35475161,473985246.322019,0.0,1921306.2207169977,2500510.054875609,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,504555951.9523632
2020-06-09 00:00:00+00:00,26339210.866645463,444507351.14658576,0.0,1916106.7207169977,2520580.5177485263,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,475283249.25169677
2020-06-10 00:00:00+00:00,26662395.730608005,450275227.0471572,0.0,1916106.7207169977,2502063.4756368375,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,481355792.97411907
2020-06-11 00:00:00+00:00,25141765.576604,458282284.2795739,0.0,1594906.720716998,2265978.2576841554,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,487284934.8345791
2020-06-12 00:00:00+00:00,25503163.49823023,469203702.99924296,0.0,1595001.7207169977,2292984.062592711,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,498594852.2807829
2020-06-13 00:00:00+00:00,25489527.24634497,465911399.1722202,0.0,1547515.1846619977,2289888.8878292786,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,495238330.49105644
2020-06-14 00:00:00+00:00,25225657.198516797,437724009.6945937,0.0,2332983.5327559975,2279835.330757749,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,467562485.7566242
2020-06-15 00:00:00+00:00,25633873.477161255,434763121.13705975,0.0,2682156.999801997,2227297.677792874,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,465306449.2918158
2020-06-16 00:00:00+00:00,25671577.197532386,440186563.5407204,0.0,2587030.9834449976,2224271.3773278673,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,470669443.0990256
2020-06-17 00:00:00+00:00,25463204.5890182,436316559.2298578,0.0,2783582.2963609975,2206474.0902658287,0.0,0.0,0.0,Open,Open,Closed,Open,Open,Closed,Closed,Closed,466769820.2055028
